"","xma","yma","label","powr","perc","cumsum_perc","xmb","ymb"
"63",498375,153375,"63_239",0.000743389026734782,0.409050495420422,0.409050495420422,503625,146625
"62",498125,153375,"62_239",0.000694485208091146,0.382141124250397,0.791191619670819,503625,146625
"37",498625,153625,"37_239",0.000690566713174236,0.379984968819767,1.17117658849059,503625,146625
"39",499125,153625,"39_239",0.000637311038766231,0.350680985014374,1.52185757350496,503625,146625
"41",499625,153625,"41_239",0.000637236442673749,0.350639938445904,1.87249751195086,503625,146625
"38",498875,153625,"38_239",0.000613435697806503,0.33754355670069,2.21004106865155,503625,146625
"63.1",498375,153375,"63_253",0.000579175728672129,0.318691977186449,2.528733045838,503875,146125
"64",498625,153375,"64_239",0.000561996780633409,0.309239245234102,2.83797229107211,503625,146625
"62.1",498125,153375,"62_253",0.00054185048866106,0.298153729554149,3.13612602062625,503875,146125
"37.1",498625,153625,"37_253",0.000536838737261234,0.295396008738673,3.43152202936493,503875,146125
"63.2",498375,153375,"63_262",0.000516660914533565,0.284293143231616,3.71581517259654,503875,145875
"39.1",499125,153625,"39_253",0.000494475533202106,0.272085616757107,3.98790078935365,503875,146125
"41.1",499625,153625,"41_253",0.000493799385197035,0.271713565695677,4.25961435504933,503875,146125
"62.2",498125,153375,"62_262",0.000484286186435916,0.266478919331094,4.52609327438042,503875,145875
"37.2",498625,153625,"37_262",0.000477346990192494,0.262660620218368,4.78875389459879,503875,145875
"38.1",498875,153625,"38_253",0.000476377803276051,0.262127324226541,5.05088121882533,503875,146125
"11",499125,153875,"11_239",0.00046456041676716,0.255624796435313,5.30650601526064,503625,146625
"63.3",498375,153375,"63_254",0.000458363981733421,0.252215202361098,5.55872121762174,504125,146125
"63.4",498375,153375,"63_261",0.000450662901423384,0.247977675840254,5.806698893462,503625,145875
"39.2",499125,153625,"39_262",0.000438061267673527,0.241043615283661,6.04774250874566,503875,145875
"64.1",498625,153375,"64_253",0.00043727536091299,0.240611169366126,6.28835367811178,503875,146125
"41.2",499625,153625,"41_262",0.000435881880580704,0.239844405532143,6.52819808364393,503875,145875
"62.3",498125,153375,"62_254",0.000427775652881693,0.23538394628803,6.76358202993196,504125,146125
"37.3",498625,153625,"37_254",0.000426769141583095,0.234830112520607,6.99841214245256,504125,146125
"63.5",498375,153375,"63_264",0.000424808658227886,0.233751354751967,7.23216349720453,504375,145875
"62.4",498125,153375,"62_261",0.000423515408754749,0.233039743040381,7.46520324024491,503625,145875
"38.2",498875,153625,"38_262",0.000422804575338444,0.232648606299531,7.69785184654444,503875,145875
"63.6",498375,153375,"63_243",0.000420492366044662,0.23137631100982,7.92922815755426,503625,146375
"37.4",498625,153625,"37_261",0.000414479001284901,0.228067451522173,8.15729560907644,503625,145875
"41.3",499625,153625,"41_254",0.000397136523861271,0.218524737375433,8.37582034645187,504125,146125
"62.5",498125,153375,"62_264",0.000396281372738696,0.218054189684024,8.59387453613589,504375,145875
"37.5",498625,153625,"37_264",0.00039593005637529,0.217860877532066,8.81173541366796,504375,145875
"39.3",499125,153625,"39_254",0.000395274348299304,0.217500073560407,9.02923548722836,504125,146125
"62.6",498125,153375,"62_243",0.000393630511261128,0.216595550718834,9.2458310379472,503625,146375
"64.2",498625,153375,"64_262",0.000389331966850485,0.214230272704867,9.46006131065207,503875,145875
"37.6",498625,153625,"37_243",0.000389251672782604,0.214186090820195,9.67424740147226,503625,146375
"38.3",498875,153625,"38_254",0.000379730093225446,0.208946832914885,9.88319423438715,504125,146125
"39.4",499125,153625,"39_261",0.000378177475883885,0.20809250379524,10.0912867381824,503625,145875
"41.4",499625,153625,"41_261",0.000373936924547209,0.205759136523541,10.2970458747059,503625,145875
"41.5",499625,153625,"41_264",0.000369805973889411,0.20348607712616,10.5005319518321,504375,145875
"39.5",499125,153625,"39_264",0.000367292982087746,0.202103301076891,10.702635252909,504375,145875
"38.4",498875,153625,"38_261",0.000366084711603429,0.201438449132031,10.904073702041,503625,145875
"11.1",499125,153875,"11_253",0.00036026367413331,0.198235417912333,11.1023091199533,503875,146125
"39.6",499125,153625,"39_243",0.000357818919593325,0.196890189479039,11.2991993094324,503625,146375
"41.6",499625,153625,"41_243",0.000356392888583883,0.196105514605024,11.4953048240374,503625,146375
"38.5",498875,153625,"38_264",0.000352547804797451,0.193989753716434,11.6892945777538,504375,145875
"64.3",498625,153375,"64_254",0.000346954789319095,0.190912191807342,11.8802067695612,504125,146125
"63.7",498375,153375,"63_255",0.000345612598950445,0.190173650323004,12.0703804198842,504375,146125
"38.6",498875,153625,"38_243",0.000345092527615009,0.189887480592536,12.2602679004767,503625,146375
"36",498375,153625,"36_239",0.00034453665995554,0.189581613901857,12.4498495143786,503625,146625
"12",499375,153875,"12_239",0.000344015315134086,0.189294743434537,12.6391442578131,503625,146625
"64.4",498625,153375,"64_261",0.000338681461039666,0.186359785315224,12.8255040431283,503625,145875
"63.8",498375,153375,"63_260",0.000335355196944316,0.184529505438646,13.010033548567,503375,145875
