"","xma","yma","label","powr","perc","cumsum_perc","xmb","ymb"
"764",489375,135375,"764_859",0.000762936470851842,0.0349696295511199,0.0349696295511199,491625,130625
"775",489375,135125,"775_859",0.000759026456672106,0.0347904118146125,0.0697600413657324,491625,130625
"794",489125,134625,"794_859",0.000739395487189001,0.0338906150991834,0.103650656464916,491625,130625
"764.1",489375,135375,"764_867",0.00073442132972309,0.0336626217464503,0.137313278211366,491625,130375
"775.1",489375,135125,"775_867",0.000732381618625904,0.0335691304215694,0.170882408632936,491625,130375
"764.2",489375,135375,"764_875",0.000728172719860371,0.0333762131391062,0.204258621772042,491625,130125
"775.2",489375,135125,"775_875",0.000727640543399321,0.0333518205266021,0.237610442298644,491625,130125
"794.1",489125,134625,"794_875",0.000721317865189723,0.0330620169542106,0.270672459252854,491625,130125
"794.2",489125,134625,"794_867",0.000720075071912337,0.0330050528134477,0.303677512066302,491625,130375
"785",489125,134875,"785_859",0.000645430096243167,0.0295836576557503,0.333261169722052,491625,130625
"794.3",489125,134625,"794_848",0.000633959246050077,0.0290578846756739,0.362319054397726,488625,131375
"785.1",489125,134875,"785_867",0.000626448320419879,0.0287136171030662,0.391032671500792,491625,130375
"785.2",489125,134875,"785_875",0.000625694217819645,0.0286790523790279,0.41971172387982,491625,130125
"764.3",489375,135375,"764_848",0.000601776188131335,0.0275827558068389,0.447294479686659,488625,131375
"775.3",489375,135125,"775_848",0.000596201864494486,0.027327253494358,0.474621733181017,488625,131375
"765",489625,135375,"765_859",0.000560017178482774,0.0256687077128982,0.500290440893915,491625,130625
"785.3",489125,134875,"785_848",0.000554972233606657,0.025437469778727,0.525727910672642,488625,131375
"765.1",489625,135375,"765_867",0.000537690742022389,0.0246453627267232,0.550373273399366,491625,130375
"765.2",489625,135375,"765_875",0.000531840301944153,0.0243772044592091,0.574750477858575,491625,130125
"776",489625,135125,"776_859",0.000530608496097104,0.0243207439336006,0.599071221792175,491625,130625
"810",486375,133625,"810_870",0.000529156067353082,0.0242541710313101,0.623325392823485,485125,130125
"810.1",486375,133625,"810_844",0.000518736450108757,0.0237765819147593,0.647101974738245,486125,131375
"776.1",489625,135125,"776_867",0.000510555868702484,0.0234016202866034,0.670503595024848,491625,130375
"806",486625,133875,"806_844",0.000510190413343557,0.0233848694311817,0.69388846445603,486125,131375
"776.2",489625,135125,"776_875",0.000505946581407489,0.0231903509668648,0.717078815422894,491625,130125
"806.1",486625,133875,"806_870",0.00048718976766193,0.0223306216796946,0.739409437102589,485125,130125
"797",485625,134375,"797_870",0.000479974087452588,0.0219998868498361,0.761409323952425,485125,130125
"771",485125,135125,"771_870",0.000470577328661926,0.0215691810355974,0.782978504988023,485125,130125
"772",485375,135125,"772_844",0.000470369495549565,0.021559654886009,0.804538159874032,486125,131375
"797.1",485625,134375,"797_844",0.000469254888610749,0.0215085662393987,0.82604672611343,486125,131375
"772.1",485375,135125,"772_870",0.000468817734262235,0.0214885290197765,0.847535255133207,485125,130125
"752",489375,135625,"752_859",0.000467412634041494,0.0214241254474232,0.86895938058063,491625,130625
"136",491125,152125,"136_230",0.000455170129175724,0.020862983234028,0.889822363814658,491125,146875
"771.1",485125,135125,"771_844",0.000454969633253871,0.0208537933887636,0.910676157203421,486125,131375
"136.1",491125,152125,"136_235",0.000453076516415006,0.0207670212955666,0.931443178498988,491375,146625
"125",491875,152375,"125_235",0.000452254650594324,0.0207293506055577,0.952172529104546,491375,146625
"810.2",486375,133625,"810_843",0.00045066618680463,0.020656542459135,0.972829071563681,485875,131375
"122",491125,152375,"122_230",0.000450503082809862,0.0206490664942372,0.993478138057918,491125,146875
"806.2",486625,133875,"806_848",0.000449104499438271,0.0205849616253924,1.01406309968331,488625,131375
"752.1",489375,135625,"752_867",0.000449000810441729,0.0205802089809244,1.03464330866423,491625,130375
"775.4",489375,135125,"775_880",0.000448498747930765,0.0205571966585481,1.05520050532278,491625,129875
"122.1",491125,152375,"122_235",0.000448324331231859,0.0205492021693851,1.07574970749217,491375,146625
"764.4",489375,135375,"764_880",0.000448007849887191,0.0205346960659207,1.09628440355809,491625,129875
"794.4",489125,134625,"794_880",0.000447912300153358,0.0205303164892148,1.1168147200473,491625,129875
"121",490875,152375,"121_230",0.000447452609338031,0.0205092462977452,1.13732396634505,491125,146875
"123",491375,152375,"123_235",0.000446539111733804,0.0204673756125229,1.15779134195757,491375,146625
"123.1",491375,152375,"123_230",0.000445856575714117,0.020436091183641,1.17822743314121,491125,146875
"811",486625,133625,"811_844",0.000445701465421417,0.02042898161465,1.19865641475586,486125,131375
"125.1",491875,152375,"125_230",0.000445483073988522,0.0204189715184005,1.21907538627426,491125,146875
"752.2",489375,135625,"752_875",0.000444367737447777,0.0203678494300684,1.23944323570433,491625,130125
"811.1",486625,133625,"811_870",0.000442855426662324,0.0202985318001556,1.25974176750449,485125,130125
"121.1",490875,152375,"121_235",0.00044260163472255,0.0202868991014237,1.28002866660591,491375,146625
"806.3",486625,133875,"806_843",0.000438149992974705,0.0200828555555141,1.30011152216142,485875,131375
"132",490125,152125,"132_230",0.000436875494049443,0.0200244381682447,1.32013596032967,491125,146875
"125.2",491875,152375,"125_240",0.000433780764656091,0.0198825894762747,1.34001854980594,491625,146375
"119",490375,152375,"119_230",0.000432050205961629,0.0198032683286119,1.35982181813456,491125,146875
"794.5",489125,134625,"794_884",0.000431217052734912,0.0197650802738908,1.37958689840845,491625,129625
"728",489375,136375,"728_859",0.000429421809683002,0.019682794281704,1.39926969269015,491625,130625
"775.5",489375,135125,"775_884",0.000428873024036145,0.0196576403776678,1.41892733306782,491625,129625
"772.2",485375,135125,"772_843",0.000428755861975167,0.0196522701875846,1.4385796032554,485875,131375
"764.5",489375,135375,"764_866",0.000428719947816323,0.0196506240415706,1.45823022729697,491375,130375
"775.6",489375,135125,"775_866",0.00042848610156309,0.0196399055647906,1.47787013286176,491375,130375
"764.6",489375,135375,"764_884",0.000427697924147173,0.0196037790020842,1.49747391186385,491625,129625
"136.2",491125,152125,"136_240",0.000426645105657997,0.0195555224644069,1.51702943432826,491625,146375
"794.6",489125,134625,"794_866",0.000425909633330182,0.0195218116695618,1.53655124599782,491375,130375
"797.2",485625,134375,"797_843",0.000425242649102822,0.019491240065977,1.55604248606379,485875,131375
"132.1",490125,152125,"132_235",0.000425127447568022,0.0194859597377327,1.57552844580153,491375,146625
"210",483875,149625,"210_290",0.000424299026859163,0.0194479886006747,1.5949764344022,486125,143875
"774",489125,135125,"774_859",0.000424070322631455,0.0194375058115758,1.61441394021378,491625,130625
"760",485375,135375,"760_844",0.000423139929365276,0.0193948607040235,1.6338088009178,486125,131375
"123.2",491375,152375,"123_240",0.000422971185445398,0.0193871262299321,1.65319592714773,491625,146375
"810.3",486375,133625,"810_857",0.000422737495634672,0.0193764149237839,1.67257234207152,486125,130625
"119.1",490375,152375,"119_235",0.000422700923586914,0.0193747386230552,1.69194708069457,491375,146625
"122.2",491125,152375,"122_240",0.000422190702777963,0.0193513523604239,1.711298433055,491625,146375
"736",489625,136125,"736_859",0.000420414896106929,0.0192699572458725,1.73056839030087,491625,130625
"230",491125,146875,"230_276",0.000420412635176857,0.0192698536148494,1.74983824391572,489375,145375
"771.2",485125,135125,"771_843",0.000418566410341249,0.0191852308434445,1.76902347475916,485875,131375
"769",484625,135125,"769_870",0.000417355200907969,0.0191297143662425,1.78815318912541,485125,130125
"810.4",486375,133625,"810_871",0.000416491584942049,0.019090130034445,1.80724331915985,485375,130125
"759",485125,135375,"759_870",0.000415982995773992,0.0190668185590075,1.82631013771886,485125,130125
"760.1",485375,135375,"760_870",0.000415017433490779,0.0190225614594421,1.8453326991783,485125,130125
"121.2",490875,152375,"121_240",0.000414510957713617,0.0189993468524852,1.86433204603078,491625,146375
"124",491625,152375,"124_235",0.000414451205320878,0.0189966080673849,1.88332865409817,491375,146625
"124.1",491625,152375,"124_230",0.000411070833990663,0.0188416668138479,1.90217032091202,491125,146875
"728.1",489375,136375,"728_867",0.00041040132699485,0.018810979577728,1.92098130048975,491625,130375
"774.1",489125,135125,"774_867",0.000410398170049972,0.0188108348773537,1.9397921353671,491625,130375
"758",484875,135375,"758_870",0.000410084590700608,0.0187964617885042,1.9585885971556,485125,130125
"759.1",485125,135375,"759_844",0.000409314084896316,0.0187611452142251,1.97734974236983,486125,131375
"774.2",489125,135125,"774_875",0.000408862823917045,0.018740461409113,1.99609020377894,491625,130125
"806.4",486625,133875,"806_857",0.000404633586628967,0.018546611898835,2.01463681567778,486125,130625
"728.2",489375,136375,"728_875",0.000404350861857955,0.0185336530472334,2.03317046872501,491625,130125
"765.3",489625,135375,"765_848",0.000403485677836355,0.0184939968427068,2.05166446556772,488625,131375
"230.1",491125,146875,"230_275",0.000402321383563847,0.0184406307487349,2.07010509631645,489125,145375
"736.1",489625,136125,"736_867",0.000401573821860407,0.0184063658304426,2.08851146214689,491625,130375
"736.2",489625,136125,"736_875",0.000395421350624212,0.0181243637920377,2.10663582593893,491625,130125
"110",491625,152625,"110_235",0.00039541054025897,0.0181238682927632,2.12475969423169,491375,146625
"124.2",491625,152375,"124_240",0.000394990741422854,0.0181046265729794,2.14286432080467,491625,146375
"107",490875,152625,"107_230",0.00039279455402461,0.018003963067333,2.16086828387201,491125,146875
"111",491875,152625,"111_235",0.000392761852864748,0.0180024641909652,2.17887074806297,491375,146625
"810.5",486375,133625,"810_848",0.000392665922977302,0.017998067189701,2.19686881525267,488625,131375
