"","xma","yma","label","powr","perc","cumsum_perc","xmb","ymb"
"5",494875,153875,"5_62",0.00157460618763822,0.181339132596633,0.181339132596633,498125,153375
"5.1",494875,153875,"5_63",0.00151887765832564,0.17492117028595,0.356260302882583,498375,153375
"5.2",494875,153875,"5_37",0.00141542529219034,0.16300710409764,0.519267406980223,498625,153625
"31",494375,153625,"31_62",0.00113560380553044,0.130781531715688,0.650048938695911,498125,153375
"4",494625,153875,"4_62",0.00113542236373468,0.130760636016103,0.780809574712014,498125,153375
"5.3",494875,153875,"5_38",0.00111463818459799,0.128367031160509,0.909176605872523,498875,153625
"4.1",494625,153875,"4_63",0.00109139630132877,0.125690385415661,1.03486699128818,498375,153375
"31.1",494375,153625,"31_63",0.00108732155807943,0.125221118616006,1.16008810990419,498375,153375
"5.4",494875,153875,"5_39",0.00102880889043444,0.118482521702087,1.27857063160628,499125,153625
"5.5",494875,153875,"5_64",0.00102362400784193,0.117885405979233,1.39645603758551,498625,153375
"4.2",494625,153875,"4_37",0.00101346947673867,0.11671596191338,1.51317199949889,498625,153625
"31.2",494375,153625,"31_37",0.000997193981218251,0.114841598492593,1.62801359799148,498625,153625
"5.6",494875,153875,"5_11",0.00083591605702595,0.0962680661963149,1.7242816641878,499125,153875
"5.7",494875,153875,"5_41",0.000830264078119783,0.0956171574418942,1.81989882162969,499625,153625
"3",494375,153875,"3_62",0.000813185166950301,0.0936502688563653,1.91354909048606,498125,153375
"4.3",494625,153875,"4_38",0.000796113855645147,0.0916842555073341,2.00523334599339,498875,153625
"5.8",494875,153875,"5_36",0.000793365060441975,0.0913676911868441,2.09660103718024,498375,153625
"31.3",494375,153625,"31_38",0.000781466652062335,0.0899974139252765,2.18659845110551,498875,153625
"3.1",494375,153875,"3_63",0.000779514854086949,0.0897726355936283,2.27637108669914,498375,153375
"28",493125,153625,"28_62",0.000751671677841316,0.0865660830798906,2.36293716977903,498125,153375
"4.4",494625,153875,"4_64",0.000733350344048135,0.0844561111998409,2.44739328097887,498625,153375
"4.5",494625,153875,"4_39",0.000733093370094383,0.0844265168579418,2.53181979783681,499125,153625
"31.4",494375,153625,"31_64",0.000728177282130981,0.0838603568021445,2.61568015463896,498625,153375
"55",492875,153375,"55_62",0.000725082342904575,0.0835039288907329,2.69918408352969,498125,153375
"3.2",494375,153875,"3_37",0.000721789525085062,0.0831247123400315,2.78230879586972,498625,153625
"31.5",494375,153625,"31_39",0.000718002908028068,0.0826886275221375,2.86499742339186,499125,153625
"28.1",493125,153625,"28_63",0.000714824755483315,0.0823226163694761,2.94732003976134,498375,153375
"62",498125,153375,"62_80",0.000702425701722897,0.0808946824063144,3.02821472216765,492875,153125
"62.1",498125,153375,"62_99",0.000696601687521332,0.0802239612496,3.10843868341725,492875,152875
"55.1",492875,153375,"55_63",0.000688909244505918,0.0793380629501296,3.18777674636738,498375,153375
"63",498375,153375,"63_80",0.000667405708055912,0.0768616134872624,3.26463835985464,492875,153125
"63.1",498375,153375,"63_99",0.000662105495200554,0.0762512157831801,3.34088957563782,492875,152875
"27",492875,153625,"27_62",0.000655971745748191,0.0755448240428269,3.41643439968065,498125,153375
"28.2",493125,153625,"28_37",0.000651583283271053,0.0750394278458066,3.49147382752646,498625,153625
"54",492625,153375,"54_62",0.000631237317510023,0.0726962897253602,3.56417011725182,498125,153375
"26",492625,153625,"26_62",0.000627790375069342,0.0722993234507381,3.63646944070255,498125,153375
"27.1",492875,153625,"27_63",0.000623428411972017,0.0717969790482472,3.7082664197508,498375,153375
"37",498625,153625,"37_55",0.000623423892632589,0.0717964585796385,3.78006287833044,492875,153375
"62.2",498125,153375,"62_98",0.000612962329818239,0.0705916552826282,3.85065453361307,492625,152875
"56",493125,153375,"56_62",0.000606799235921325,0.0698818840965679,3.92053641770964,498125,153375
"37.1",498625,153625,"37_80",0.000600158441627814,0.0691170986623482,3.98965351637198,492875,153125
"54.1",492625,153375,"54_63",0.000599460657333685,0.0690367385065007,4.05869025487848,498375,153375
"26.1",492625,153625,"26_63",0.000596345291875596,0.0686779582131635,4.12736821309165,498375,153375
"4.6",494625,153875,"4_11",0.000595739415541515,0.0686081826148294,4.19597639570648,499125,153875
"37.2",498625,153625,"37_99",0.000591843928798209,0.0681595598464073,4.26413595555289,492875,152875
"4.7",494625,153875,"4_41",0.000588935085672605,0.06782456364647,4.33196051919936,499625,153625
"62.3",498125,153375,"62_79",0.000586306484222739,0.0675218414098859,4.39948236060924,492625,153125
"63.2",498375,153375,"63_98",0.000582305968880837,0.0670611230488536,4.46654348365809,492625,152875
"33",494875,153625,"33_62",0.000579622501110583,0.0667520821460366,4.53329556580413,498125,153375
"11",499125,153875,"11_31",0.000579055575358216,0.0666867922818229,4.59998235808595,494375,153625
"56.1",493125,153375,"56_63",0.000576867273040342,0.0664347769859999,4.66641713507195,498375,153375
"31.6",494375,153625,"31_41",0.000574341445289403,0.0661438906570627,4.73256102572902,499625,153625
"4.8",494625,153875,"4_36",0.00056965668692243,0.0656043716170887,4.7981653973461,498375,153625
"27.2",492875,153625,"27_37",0.000567923736036531,0.0654047967564355,4.86357019410254,498625,153625
"3.3",494375,153875,"3_38",0.000565885306647899,0.0651700415394828,4.92874023564202,498875,153625
