"","xma","yma","label","powr","perc","cumsum_perc","xmb","ymb"
"5373",575500,311500,"5373_5452",0.000102848011663404,0.78241449536939,0.78241449536939,580500,306500
"5328",580500,314500,"5328_5452",0.000100747232758508,0.766432855664613,1.548847351034,580500,306500
"6961",541500,254500,"6961_7179",8.9576215928496e-05,0.681449535574559,2.23029688660856,538500,247500
"7202",518500,246500,"7202_7390",8.48146432242694e-05,0.645225952402773,2.87552283901134,510500,239500
"7202.1",518500,246500,"7202_7351",8.182404271927e-05,0.622475010044952,3.49799784905629,509500,240500
"5235",570500,320500,"5235_5290",7.69807115784895e-05,0.585629450960907,4.08362730001719,573500,316500
"3609",496500,395500,"3609_3680",7.31213194459545e-05,0.556269191107828,4.63989649112502,502500,389500
"6896",534500,256500,"6896_6961",7.27817970225935e-05,0.553686280060311,5.19358277118533,541500,254500
"6896.1",534500,256500,"6896_6960",6.81184049305741e-05,0.518209604222102,5.71179237540743,540500,254500
"6960",540500,254500,"6960_7179",6.01833048451608e-05,0.457843465600451,6.16963584100789,538500,247500
"6896.2",534500,256500,"6896_6930",5.86705242089265e-05,0.446335012700287,6.61597085370817,541500,255500
"3609.1",496500,395500,"3609_3626",5.76871839134437e-05,0.438854268166454,7.05482512187463,505500,393500
"7202.2",518500,246500,"7202_7505",5.63468294367903e-05,0.428657544335768,7.4834826662104,518500,236500
"5130",585500,327500,"5130_5238",5.29781179955432e-05,0.403030129476505,7.8865127956869,587500,320500
"6871",534500,257500,"6871_6961",5.23853622270815e-05,0.398520750073273,8.28503354576017,541500,254500
"5327",578500,314500,"5327_5452",5.16810232100464e-05,0.393162503008799,8.67819604876897,580500,306500
"5392",576500,310500,"5392_5452",4.97945435960156e-05,0.378811141505893,9.05700719027486,580500,306500
"6896.3",534500,256500,"6896_7107",4.95866126590297e-05,0.377229310447594,9.43423650072246,527500,249500
"6871.1",534500,257500,"6871_6960",4.76232141152785e-05,0.36229278949816,9.79652929022062,540500,254500
"6871.2",534500,257500,"6871_6930",4.54988737476472e-05,0.346131906367305,10.1426611965879,541500,255500
"5267",590500,318500,"5267_5416",4.20230405606212e-05,0.319689564653247,10.4623507612412,589500,308500
"6964",548500,254500,"6964_7179",4.18195839680973e-05,0.318141772094164,10.7804925333353,538500,247500
"6961.1",541500,254500,"6961_6964",4.11711855814674e-05,0.313209092421817,11.0937016257572,548500,254500
"5306",578500,315500,"5306_5452",4.04285200664552e-05,0.307559277177374,11.4012609029345,580500,306500
"6370",619500,275500,"6370_6371",3.84633893482729e-05,0.292609578740486,11.693870481675,628500,275500
"7109",546500,249500,"7109_7224",3.69727850288839e-05,0.281269831792658,11.9751403134677,540500,245500
"6930",541500,255500,"6930_7179",3.68357010440957e-05,0.2802269677154,12.2553672811831,538500,247500
"5346",597500,313500,"5346_5416",3.68064872036732e-05,0.280004723922425,12.5353720051055,589500,308500
"6961.2",541500,254500,"6961_7084",3.5934806183234e-05,0.273373425419912,12.8087454305254,536500,250500
"5130.1",585500,327500,"5130_5236",3.59341420020262e-05,0.273368372672696,13.0821138031981,579500,320500
"5328.1",580500,314500,"5328_5416",3.58437222691623e-05,0.272680506096416,13.3547943092945,589500,308500
"5130.2",585500,327500,"5130_5237",3.57640647485775e-05,0.272074512866574,13.6268688221611,586500,320500
"6965",549500,254500,"6965_7179",3.49070302015032e-05,0.26555463716049,13.8924234593216,538500,247500
"7083",533500,250500,"7083_7107",3.30121898243463e-05,0.251139671294638,14.1435631306162,527500,249500
"6964.1",548500,254500,"6964_7224",3.26635965713564e-05,0.248487754065359,14.3920508846816,540500,245500
"5130.3",585500,327500,"5130_5248",3.1548960903916e-05,0.240008182227691,14.6320590669093,579500,319500
"7177",519500,247500,"7177_7390",3.14268690194466e-05,0.239079370298021,14.8711384372073,510500,239500
"6961.3",541500,254500,"6961_6965",3.14242660582051e-05,0.239059568314751,15.110198005522,549500,254500
"5085",614500,330500,"5085_5201",3.13991295772223e-05,0.238868342964204,15.3490663484862,610500,322500
"6896.4",534500,256500,"6896_6929",3.09188391530798e-05,0.235214541750563,15.5842808902368,540500,255500
"7177.1",519500,247500,"7177_7351",3.07053170520915e-05,0.233590176007434,15.8178710662442,509500,240500
"6994",549500,253500,"6994_7179",3.06269904559075e-05,0.232994307762282,16.0508653740065,538500,247500
"6960.1",540500,254500,"6960_7084",3.04387264975261e-05,0.231562092908432,16.282427466915,536500,250500
"5219",568500,321500,"5219_5235",3.02817633689767e-05,0.230367998583911,16.5127954654989,570500,320500
"6965.1",549500,254500,"6965_7224",2.96996574685365e-05,0.225939637870093,16.738735103369,540500,245500
"6871.3",534500,257500,"6871_7107",2.91133366457093e-05,0.221479212206073,16.960214315575,527500,249500
"6994.1",549500,253500,"6994_7224",2.89330631876255e-05,0.220107784947015,17.180322100522,540500,245500
"5282",589500,317500,"5282_5416",2.86982400664277e-05,0.218321372055783,17.3986434725778,589500,308500
"6897",535500,256500,"6897_6961",2.85660036450199e-05,0.217315385734299,17.6159588583121,541500,254500
"5630",615500,299500,"5630_5848",2.83495202507059e-05,0.215668492002679,17.8316273503148,614500,292500
"7143",513500,248500,"7143_7351",2.83268963894495e-05,0.215496381363864,18.0471237316787,509500,240500
"7109.1",546500,249500,"7109_7179",2.83205506982126e-05,0.215448106625961,18.2625718383046,538500,247500
"7176",518500,247500,"7176_7351",2.81844373973179e-05,0.214412627009874,18.4769844653145,509500,240500
"5219.1",568500,321500,"5219_5290",2.80879385935399e-05,0.213678514005251,18.6906629793198,573500,316500
"7176.1",518500,247500,"7176_7390",2.75706109213072e-05,0.209742952558178,18.9004059318779,510500,239500
"6961.4",541500,254500,"6961_7224",2.75144844949358e-05,0.209315971726405,19.1097219036043,540500,245500
"6961.5",541500,254500,"6961_7083",2.66297105287553e-05,0.202585068862374,19.3123069724667,533500,250500
"6930.1",541500,255500,"6930_6964",2.65384204152722e-05,0.201890580880371,19.5141975533471,548500,254500
"7221",518500,245500,"7221_7390",2.64066104523558e-05,0.20088783883459,19.7150853921817,510500,239500
"6897.1",535500,256500,"6897_6960",2.63638027401005e-05,0.200562179893397,19.9156475720751,540500,254500
"7177.2",519500,247500,"7177_7505",2.59208248288177e-05,0.197192232985231,20.1128398050603,518500,236500
"5391",575500,310500,"5391_5452",2.50266947360116e-05,0.190390153547399,20.3032299586077,580500,306500
"6960.2",540500,254500,"6960_7083",2.49209983710451e-05,0.189586070252836,20.4928160288605,533500,250500
"5281",588500,317500,"5281_5416",2.41364979636411e-05,0.183617996777727,20.6764340256383,589500,308500
"6993",548500,253500,"6993_7179",2.40682728307842e-05,0.183098975242625,20.8595330008809,538500,247500
"7221.1",518500,245500,"7221_7351",2.38917202298196e-05,0.181755854340667,21.0412888552216,509500,240500
"3419",508500,411500,"3419_3547",2.37824781487364e-05,0.180924797071193,21.2222136522928,511500,401500
"7204",520500,246500,"7204_7505",2.3724776386881e-05,0.180485831901582,21.4026994841943,518500,236500
"6896.5",534500,256500,"6896_7025",2.36396199058376e-05,0.179838005423798,21.5825374896181,527500,252500
"5848",614500,292500,"5848_5913",2.3632400245715e-05,0.179783081982496,21.7623205716006,609500,290500
"5415",574500,308500,"5415_5452",2.36244711191704e-05,0.179722761287484,21.9420433328881,580500,306500
"6871.4",534500,257500,"6871_6929",2.3498825447636e-05,0.178766913983302,22.1208102468714,540500,255500
"6897.2",535500,256500,"6897_6930",2.34883754253892e-05,0.178687415617213,22.2994976624886,541500,255500
"6896.6",534500,256500,"6896_6991",2.27711277622707e-05,0.173230966247726,22.4727286287363,531500,253500
"5347",598500,313500,"5347_5416",2.26948099016479e-05,0.17265037942411,22.6453790081605,589500,308500
"6717",551500,262500,"6717_6965",2.26036320789149e-05,0.171956745692075,22.8173357538525,549500,254500
"6258",613500,278500,"6258_6371",2.23975874897893e-05,0.170389264992964,22.9877250188455,628500,275500
"5328.2",580500,314500,"5328_5433",2.23233485740901e-05,0.169824493707412,23.1575495125529,588500,307500
"7221.2",518500,245500,"7221_7505",2.17892608909002e-05,0.165761430762709,23.3233109433156,518500,236500
"6993.1",548500,253500,"6993_7224",2.09385439480457e-05,0.159289616123024,23.4826005594386,540500,245500
"6896.7",534500,256500,"6896_7083",2.05217178711043e-05,0.156118618848772,23.6387191782874,533500,250500
"6930.2",541500,255500,"6930_6965",2.03662413220887e-05,0.154935833652711,23.7936550119401,549500,254500
"7179",538500,247500,"7179_7355",2.0188517931616e-05,0.15358380598953,23.9472388179297,534500,240500
"6896.8",534500,256500,"6896_7081",2.01524139285808e-05,0.153309145401943,24.1005479633316,527500,250500
"7203",519500,246500,"7203_7505",1.98268551985999e-05,0.150832462913761,24.2513804262454,518500,236500
"6478",611500,272500,"6478_6698",1.9788578923079e-05,0.150541276800273,24.4019217030456,614500,263500
"6961.6",541500,254500,"6961_6994",1.96468638728467e-05,0.149463181971598,24.5513848850172,549500,253500
"7203.1",519500,246500,"7203_7390",1.95088154632056e-05,0.148412981048712,24.6997978660659,510500,239500
"7224",540500,245500,"7224_7256",1.93893696888911e-05,0.147504299356935,24.8473021654229,549500,244500
"7107",527500,249500,"7107_7147",1.92406063588274e-05,0.146372584859602,24.9936747502825,520500,248500
"7143.1",513500,248500,"7143_7390",1.91196442593348e-05,0.145452367749882,25.1391271180324,510500,239500
"6960.3",540500,254500,"6960_6964",1.86383929056209e-05,0.14179125628091,25.2809183743133,548500,254500
"7090",572500,250500,"7090_7297",1.83337623766044e-05,0.139473784724779,25.4203921590381,586500,242500
"6899",544500,256500,"6899_6961",1.82647623763399e-05,0.138948868399084,25.5593410274371,541500,254500
"6896.9",534500,256500,"6896_7024",1.80601633179634e-05,0.137392384550503,25.6967334119876,526500,252500
"7203.2",519500,246500,"7203_7351",1.80229857281936e-05,0.137109556670136,25.8338429686578,509500,240500
"5415.1",574500,308500,"5415_5567",1.78876850694427e-05,0.136080259215303,25.9699232278731,572500,301500
"3419.1",508500,411500,"3419_3521",1.78833370000774e-05,0.136047181351732,26.1059704092248,516500,404500
"5373.1",575500,311500,"5373_5567",1.78093870669901e-05,0.135484608496474,26.2414550177213,572500,301500
"5235.1",570500,320500,"5235_5279",1.77822257492623e-05,0.135277979234909,26.3767329969562,572500,317500
"6930.3",541500,255500,"6930_7084",1.72432390011258e-05,0.131177646737143,26.5079106436933,536500,250500
"5630.1",615500,299500,"5630_5913",1.69478125851321e-05,0.128930195313921,26.6368408390073,609500,290500
"6591",599500,267500,"6591_6783",1.68301962911696e-05,0.128035431362732,26.76487627037,604500,260500
"6575",599500,268500,"6575_6783",1.67142405168763e-05,0.127153299786617,26.8920295701566,604500,260500
"5130.4",585500,327500,"5130_5267",1.66958216589408e-05,0.127013178638879,27.0190427487955,590500,318500
"5007",586500,337500,"5007_5130",1.64712379025633e-05,0.125304661540957,27.1443474103364,585500,327500
"6961.7",541500,254500,"6961_6993",1.64461430458607e-05,0.12511375284641,27.2694611631829,548500,253500
"5290",573500,316500,"5290_5452",1.60281933656418e-05,0.12193420777938,27.3913953709622,580500,306500
"7505",518500,236500,"7505_7714",1.58967639829402e-05,0.120934360991095,27.5123297319533,516500,230500
"5234",569500,320500,"5234_5290",1.5887390673932e-05,0.120863053702611,27.6331927856559,573500,316500
"7204.1",520500,246500,"7204_7390",1.58545515884753e-05,0.120613230919843,27.7538060165758,510500,239500
"6962",542500,254500,"6962_7179",1.57496938245088e-05,0.11981552726809,27.8736215438439,538500,247500
"6960.4",540500,254500,"6960_7224",1.57120389347205e-05,0.119529068335969,27.9931506121798,540500,245500
"6899.1",544500,256500,"6899_6930",1.56414455064217e-05,0.118992030033667,28.1121426422135,541500,255500
"6871.5",534500,257500,"6871_7025",1.55280573303716e-05,0.118129431417415,28.2302720736309,527500,252500
"6334",628500,276500,"6334_6370",1.54948653528471e-05,0.117876924014257,28.3481489976452,619500,275500
"7176.2",518500,247500,"7176_7505",1.52125721475313e-05,0.11572938326737,28.4638783809126,518500,236500
"6991",531500,253500,"6991_7107",1.49644628429365e-05,0.113841895962451,28.577720276875,527500,249500
"5667",617500,298500,"5667_5848",1.49155211429102e-05,0.113469572813861,28.6911898496889,614500,292500
"6477",603500,272500,"6477_6783",1.46131447505623e-05,0.111169249564008,28.8023590992529,604500,260500
"3419.2",508500,411500,"3419_3509",1.45328151402838e-05,0.11055814342328,28.9129172426762,519500,405500
"7107.1",527500,249500,"7107_7177",1.45100515477438e-05,0.110384969781107,29.0233022124573,519500,247500
"5250",591500,319500,"5250_5416",1.4417076518101e-05,0.109677663828144,29.1329798762854,589500,308500
"6717.1",551500,262500,"6717_6964",1.43310728106574e-05,0.109023392089963,29.2420032683754,548500,254500
"6960.5",540500,254500,"6960_6965",1.42021659870537e-05,0.108042735627011,29.3500460040024,549500,254500
