"","xma","yma","label","powr","perc","cumsum_perc","xmb","ymb"
"14108",295500,104500,"14108_14777",5.56664164477308e-05,6.18251301636356,6.18251301636356,293500,94500
"14108.1",295500,104500,"14108_14725",5.25133242001696e-05,5.83231921718759,12.0148322335512,292500,95500
"14108.2",295500,104500,"14108_14776",3.51744396995586e-05,3.90660015792487,15.921432391476,292500,94500
"14108.3",295500,104500,"14108_14775",2.22791911308264e-05,2.4744073348016,18.3958397262776,291500,94500
"14510",300500,99500,"14510_14777",1.66016643601024e-05,1.8438407310808,20.2396804573584,293500,94500
"13737",291500,109500,"13737_14725",1.29589837913274e-05,1.43927148685699,21.6789519442154,292500,95500
"14108.4",295500,104500,"14108_14510",1.18544147570725e-05,1.31659406539651,22.9955460096119,300500,99500
"13737.1",291500,109500,"13737_14777",1.09477242626561e-05,1.2158937483785,24.2114397579904,293500,94500
"14108.5",295500,104500,"14108_14774",1.07344077235665e-05,1.19220204404964,25.4036418020401,287500,94500
"13235",281500,116500,"13235_13647",9.92112179626136e-06,1.10187557519368,26.5055173772337,287500,110500
"13737.2",291500,109500,"13737_14776",8.4546545611215e-06,0.939004434066135,27.4445218112999,292500,94500
"14510.1",300500,99500,"14510_14725",8.43013867481499e-06,0.936281611296682,28.3808034225965,292500,95500
"13737.3",291500,109500,"13737_14108",8.38688605101837e-06,0.931477818872473,29.312281241469,295500,104500
"13737.4",291500,109500,"13737_14774",7.72375606572177e-06,0.857828210594082,30.1701094520631,287500,94500
"14510.2",300500,99500,"14510_14776",7.43864623898868e-06,0.826162884759328,30.9962723368224,292500,94500
"13814",292500,108500,"13814_14725",7.28389077245913e-06,0.808975184396565,31.805247521219,292500,95500
"14509",299500,99500,"14509_14777",6.73234779324828e-06,0.747718831542294,32.5529663527613,293500,94500
"13737.5",291500,109500,"13737_14775",6.62742094383185e-06,0.736065277143076,33.2890316299044,291500,94500
"13814.1",292500,108500,"13814_14777",6.37975419588447e-06,0.708558514706826,33.9975901446112,293500,94500
"13234",280500,116500,"13234_13647",5.79864726948695e-06,0.644018683231862,34.6416088278431,287500,110500
"12493",245500,128500,"12493_12745",5.52877596608865e-06,0.614045802768655,35.2556546306117,238500,124500
"13814.2",292500,108500,"13814_14108",5.52668797084682e-06,0.613813902485063,35.8694685330968,295500,104500
"14108.6",295500,104500,"14108_14509",4.95082311603257e-06,0.549856274389883,36.4193248074867,299500,99500
"13814.3",292500,108500,"13814_14776",4.74555007598118e-06,0.527057910079547,36.9463827175662,292500,94500
"13235.1",281500,116500,"13235_13737",4.68551876676349e-06,0.520390616326657,37.4667733338929,291500,109500
"14108.7",295500,104500,"14108_14824",3.97600635557259e-06,0.441589608512941,37.9083629424058,287500,93500
"14509.1",299500,99500,"14509_14725",3.60436516833835e-06,0.400313797636019,38.3086767400418,292500,95500
"13814.4",292500,108500,"13814_14775",3.57210024344608e-06,0.396730338688096,38.7054070787299,291500,94500
"13814.5",292500,108500,"13814_14774",3.47736521439033e-06,0.386208724623129,39.091615803353,287500,94500
"14108.8",295500,104500,"14108_14440",3.46397951957751e-06,0.384722061070948,39.476337864424,301500,100500
"14510.3",300500,99500,"14510_14775",3.46155208697953e-06,0.38445246165013,39.8607903260741,291500,94500
"15046",314500,87500,"15046_15376",3.34909609244649e-06,0.371962693234348,40.2327530193085,302500,79500
"13036",286500,119500,"13036_13737",3.23722798962751e-06,0.359538218193034,40.5922912375015,291500,109500
"11758",244500,138500,"11758_12745",3.13139218902712e-06,0.347783712396463,40.940074949898,238500,124500
"14509.2",299500,99500,"14509_14776",3.08807186447533e-06,0.342972400882168,41.2830473507801,292500,94500
"11758.1",244500,138500,"11758_12493",3.04139495243832e-06,0.337788294653532,41.6208356454337,245500,128500
"13737.6",291500,109500,"13737_14822",2.97354749932937e-06,0.330252911764873,41.9510885571985,280500,93500
"14440",301500,100500,"14440_14777",2.87442301692305e-06,0.3192437891767,42.2703323463752,293500,94500
"13235.2",281500,116500,"13235_13566",2.79216645244326e-06,0.310108078401153,42.5804404247764,290500,111500
"5000",447500,337500,"5000_5033",2.77946982577771e-06,0.308697945243087,42.8891383700195,452500,334500
"13036.1",286500,119500,"13036_13647",2.72001340796216e-06,0.302094501003126,43.1912328710226,287500,110500
"13296",281500,115500,"13296_13647",2.70960860968736e-06,0.300938906573458,43.4921717775961,287500,110500
"13234.1",280500,116500,"13234_13737",2.58533276075074e-06,0.287136382489809,43.7793081600859,291500,109500
"13737.7",291500,109500,"13737_14824",2.58294957242449e-06,0.28687169699741,44.0661798570833,287500,93500
"13098",263500,118500,"13098_14186",2.52834055147707e-06,0.280806622139659,44.3469864792229,262500,103500
"14510.4",300500,99500,"14510_14825",2.36496614212562e-06,0.26266167089595,44.6096481501189,313500,93500
"13036.2",286500,119500,"13036_13566",2.34446470025407e-06,0.260384706806765,44.8700328569257,290500,111500
"14774",287500,94500,"14774_14775",2.10918292611609e-06,0.234253464238151,45.1042863211638,291500,94500
"13097",262500,118500,"13097_14186",2.08022023982921e-06,0.231036763821919,45.3353230849857,262500,103500
"15231",300500,83500,"15231_15294",2.02141101165901e-06,0.224505198798582,45.5598282837843,285500,81500
"15003",314500,88500,"15003_15376",2.01436427337661e-06,0.223722562625212,45.7835508464095,302500,79500
"14825",313500,93500,"14825_15231",1.99115747673672e-06,0.22114513207642,46.0046959784859,300500,83500
"13098.1",263500,118500,"13098_14187",1.91502618474214e-06,0.212689716158799,46.2173856946447,263500,103500
"13295",280500,115500,"13295_13647",1.88497025581859e-06,0.20935159627168,46.4267372909164,287500,110500
"14825.1",313500,93500,"14825_15376",1.82443645968584e-06,0.202628494509381,46.6293657854258,302500,79500
"14774.1",287500,94500,"14774_14776",1.81773235643965e-06,0.201883912619122,46.8312496980449,292500,94500
"4824",478500,347500,"4824_4849",1.80312885258198e-06,0.200261994801414,47.0315116928463,470500,346500
"14108.9",295500,104500,"14108_14823",1.77305442812013e-06,0.196921820733093,47.2284335135794,286500,93500
"6324",507500,276500,"6324_6457",1.76753565300502e-06,0.19630888566091,47.4247423992404,510500,272500
"14871",312500,92500,"14871_15231",1.74897583166888e-06,0.194247564952403,47.6189899641927,300500,83500
"14108.10",295500,104500,"14108_14726",1.69410593170244e-06,0.18815351592973,47.8071434801225,293500,95500
"5779",424500,294500,"5779_5942",1.66376069797326e-06,0.184783264807288,47.9919267449298,421500,288500
"13647",287500,110500,"13647_14774",1.65784528766624e-06,0.184126277999908,48.1760530229297,287500,94500
"6285",494500,277500,"6285_6530",1.6493445625249e-06,0.183182156801012,48.3592351797307,483500,270500
"14725",292500,95500,"14725_14774",1.62319625960618e-06,0.180278031953985,48.5395132116847,287500,94500
"14871.1",312500,92500,"14871_15376",1.60446939108972e-06,0.178198158383042,48.7177113700677,302500,79500
"3616",463500,394500,"3616_3647",1.59071653409505e-06,0.17667071647448,48.8943820865422,455500,391500
"12493.1",245500,128500,"12493_13293",1.5857111099195e-06,0.176114796009457,49.0704968825517,241500,115500
"12870",288500,122500,"12870_13036",1.5855870809599e-06,0.176101020905795,49.2465979034574,286500,119500
"5871",431500,291500,"5871_5942",1.57945962781379e-06,0.175420483855802,49.4220183873133,421500,288500
"13647.1",287500,110500,"13647_14822",1.5476511616641e-06,0.171887720862415,49.5939061081757,280500,93500
"14774.2",287500,94500,"14774_14777",1.5457313423789e-06,0.171674498807229,49.7655806069829,293500,94500
"14774.3",287500,94500,"14774_14822",1.53519792123034e-06,0.170504619057219,49.9360852260401,280500,93500
"13097.1",262500,118500,"13097_14187",1.51508203816109e-06,0.168270476519445,50.1043557025596,263500,103500
"14440.1",301500,100500,"14440_14725",1.49989443323336e-06,0.166583686329866,50.2709393888894,292500,95500
"13234.2",280500,116500,"13234_13566",1.49353505580921e-06,0.165877390932933,50.4368167798224,290500,111500
"13098.2",263500,118500,"13098_14107",1.49339191193705e-06,0.165861492858128,50.6026782726805,262500,104500
"15046.1",314500,87500,"15046_15231",1.47623681328912e-06,0.163956185718636,50.7666344583991,300500,83500
"14509.3",299500,99500,"14509_14775",1.46294217368047e-06,0.162479635085894,50.929114093485,291500,94500
"12494",246500,128500,"12494_12745",1.46015786298863e-06,0.162170399496604,51.0912844929816,238500,124500
"13737.8",291500,109500,"13737_14823",1.40618995012279e-06,0.156176528415064,51.2474610213967,286500,93500
"15294",285500,81500,"15294_15376",1.3620063517538e-06,0.151269338596539,51.3987303599932,302500,79500
"14108.11",295500,104500,"14108_14822",1.3564819624781e-06,0.150655779995429,51.5493861399886,280500,93500
"13294",276500,115500,"13294_14187",1.33656025831224e-06,0.148443203667128,51.6978293436558,263500,103500
"4985",444500,338500,"4985_5033",1.33255636943388e-06,0.147998517325053,51.8458278609808,452500,334500
"14775",291500,94500,"14775_14824",1.32546666489441e-06,0.147211109164181,51.993038970145,287500,93500
"13232",278500,116500,"13232_13647",1.30909604785097e-06,0.145392929381547,52.1384318995266,287500,110500
"14440.2",301500,100500,"14440_14776",1.29895623695042e-06,0.144266765405553,52.2826986649321,292500,94500
"13647.2",287500,110500,"13647_14725",1.29658536893283e-06,0.144003448251078,52.4267021131832,292500,95500
"13647.3",287500,110500,"13647_13737",1.29108257279658e-06,0.143392287861928,52.5700944010451,291500,109500
"13736",290500,109500,"13736_14725",1.28060150094004e-06,0.142228222213131,52.7123226232582,292500,95500
"13737.9",291500,109500,"13737_14510",1.25832058384532e-06,0.139753623186552,52.8520762464448,300500,99500
"5482",403500,304500,"5482_5681",1.24027892104395e-06,0.137749851034073,52.9898260974789,406500,297500
"13097.2",262500,118500,"13097_14107",1.23042046647384e-06,0.136654935507075,53.1264810329859,262500,104500
"15045",313500,87500,"15045_15376",1.21602616772706e-06,0.135056252763649,53.2615372857496,302500,79500
"15376",302500,79500,"15376_15566",1.19476244053129e-06,0.132694626516561,53.3942319122662,292500,69500
"13296.1",281500,115500,"13296_13737",1.18574508014281e-06,0.131693125943457,53.5259250382096,291500,109500
"13814.6",292500,108500,"13814_14824",1.1786915341136e-06,0.13090973367717,53.6568347718868,287500,93500
"14510.5",300500,99500,"14510_14871",1.17000724445348e-06,0.129945225140646,53.7867799970274,312500,92500
"5683",427500,297500,"5683_5942",1.16967496411488e-06,0.129908320887604,53.916688317915,421500,288500
"13294.1",276500,115500,"13294_14186",1.15944299833076e-06,0.12877192185781,54.0454602397728,262500,103500
"14776",292500,94500,"14776_14824",1.1459940713233e-06,0.127278235509996,54.1727384752828,287500,93500
"11758.2",244500,138500,"11758_12494",1.13418009351187e-06,0.12596613251765,54.2987046078005,246500,128500
"14776.1",292500,94500,"14776_15001",1.12157327186126e-06,0.124565973428498,54.423270581229,287500,88500
"14775.1",291500,94500,"14775_15001",1.10694441814455e-06,0.122941240163999,54.546211821393,287500,88500
"14777",293500,94500,"14777_15001",1.10506178010586e-06,0.122732147592175,54.6689439689852,287500,88500
"12358",271500,130500,"12358_12937",1.10176764696929e-06,0.122366289283088,54.7913102582683,271500,121500
