"","xma","yma","label","powr","perc","cumsum_perc","xmb","ymb"
"3252",392500,420500,"3252_3438",3.40382419299554e-05,1.17485310057625,1.17485310057625,399500,409500
"5000",447500,337500,"5000_5033",3.04768531326705e-05,1.0519293408986,2.22678244147485,452500,334500
"3244",402500,421500,"3244_3278",2.11890544605655e-05,0.731354644652384,2.95813708612723,406500,417500
"6324",507500,276500,"6324_6457",1.77540646764726e-05,0.612793632993972,3.57093071912121,510500,272500
"5779",424500,294500,"5779_5942",1.73588747879892e-05,0.599153384864927,4.17008410398613,421500,288500
"4824",478500,347500,"4824_4849",1.68250120517902e-05,0.580726748959457,4.75081085294559,470500,346500
"6285",494500,277500,"6285_6530",1.65327975160935e-05,0.570640765259031,5.32145161820462,483500,270500
"5871",431500,291500,"5871_5942",1.64661573319566e-05,0.568340633920952,5.88979225212557,421500,288500
"4985",444500,338500,"4985_5033",1.46935552279702e-05,0.507158065143108,6.39695031726868,452500,334500
"3252.1",392500,420500,"3252_3439",1.33677730677346e-05,0.461397791012419,6.8583481082811,400500,409500
"5482",403500,304500,"5482_5681",1.33665253133508e-05,0.46135472392013,7.31970283220123,406500,297500
"5683",427500,297500,"5683_5942",1.22047032500756e-05,0.421253644194401,7.74095647639563,421500,288500
"5121",349500,327500,"5121_5271",1.16634902853529e-05,0.402573310145864,8.1435297865415,346500,317500
"5871.1",431500,291500,"5871_5969",1.13832521450685e-05,0.392900699889129,8.53643048643062,421500,287500
"5000.1",447500,337500,"5000_5025",1.1137941483931e-05,0.384433635361094,8.92086412179172,451500,335500
"6285.1",494500,277500,"6285_6657",1.0243312707046e-05,0.353554913876272,9.27441903566799,489500,264500
"5681",406500,297500,"5681_5870",1.00184239791934e-05,0.345792726283096,9.62021176195109,402500,291500
"6111",501500,282500,"6111_6324",9.83845887512642e-06,0.33958110815829,9.95979287010937,507500,276500
"5482.1",403500,304500,"5482_5614",9.57953467336246e-06,0.330644163004583,10.290437033114,395500,299500
"6284",493500,277500,"6284_6530",9.55810643015603e-06,0.329904552597477,10.6203415857114,483500,270500
"3235",406500,422500,"3235_3278",9.48033059664436e-06,0.327220066737745,10.9475616524492,406500,417500
