"","xma","yma","label","powr","perc","cumsum_perc","xmb","ymb"
"7262",342500,243500,"7262_7307",0.000564866323215641,1.18660062454967,1.18660062454967,352500,241500
"6594",346500,266500,"6594_6641",0.000392042527216954,0.823553978218096,2.01015460276777,352500,264500
"7262.1",342500,243500,"7262_7334",0.000335587617122898,0.704960553856827,2.7151151566246,354500,240500
"7262.2",342500,243500,"7262_7333",0.000285923571319134,0.600632529072258,3.31574768569685,353500,240500
"6446",344500,272500,"6446_6641",0.00027879112118827,0.585649568623009,3.90139725431986,352500,264500
"5893",351500,290500,"5893_6038",0.000226091074206258,0.474943891735311,4.37634114605517,355500,284500
"7262.3",342500,243500,"7262_7331",0.000194380221440794,0.40832969267615,4.78467083873132,338500,240500
"7041",349500,251500,"7041_7262",0.000185942589127329,0.390604968504454,5.17527580723578,342500,243500
"6415",354500,273500,"6415_6641",0.000179645987590232,0.377377854390222,5.552653661626,352500,264500
"7850",344500,225500,"7850_8124",0.000167129705605732,0.351085212380162,5.90373887400616,348500,217500
"7041.1",349500,251500,"7041_7126",0.000154138655680756,0.323795237175448,6.22753411118161,337500,248500
"7306",344500,241500,"7306_7307",0.00014631006809463,0.307349918102156,6.53488402928377,352500,241500
"6446.1",344500,272500,"6446_6594",0.000139666583620569,0.293394115636839,6.82827814492061,346500,266500
"7009",350500,252500,"7009_7262",0.000134810589177943,0.283193248986432,7.11147139390704,342500,243500
"7009.1",350500,252500,"7009_7126",0.000124208770733049,0.260922272879273,7.37239366678631,337500,248500
"6042",371500,284500,"6042_6164",0.000123027014988532,0.258439788002981,7.63083345478929,365500,280500
"6341",350500,275500,"6341_6446",0.000114528097800398,0.240586324220568,7.87141977900986,344500,272500
"7307",352500,241500,"7307_7331",0.000110725106587182,0.232597475242866,8.10401725425273,338500,240500
"7262.4",342500,243500,"7262_7303",0.000104902728579768,0.220366550693088,8.32438380494581,337500,241500
"7009.2",350500,252500,"7009_7307",0.000103442532275841,0.217299152664575,8.54168295761039,352500,241500
"7262.5",342500,243500,"7262_7308",0.000102561543934668,0.215448482385799,8.75713143999619,353500,241500
"6093",355500,282500,"6093_6342",0.00010109675364048,0.212371433876298,8.96950287387249,357500,275500
"7850.1",344500,225500,"7850_7851",0.000100757107705712,0.211657948115583,9.18116082198807,354500,225500
"7008",349500,252500,"7008_7126",0.000100195459881948,0.210478108512717,9.39163893050079,337500,248500
"6038",355500,284500,"6038_6342",9.94717782726571e-05,0.208957888569933,9.60059681907072,357500,275500
"5965",346500,287500,"5965_6038",9.94361010663025e-05,0.208882942350619,9.80947976142134,355500,284500
"7721",352500,229500,"7721_7850",9.93372180212681e-05,0.208675221199308,10.0181549826206,344500,225500
"7041.2",349500,251500,"7041_7307",9.58256665948974e-05,0.201298592527326,10.219453575148,352500,241500
"7009.3",350500,252500,"7009_7334",9.3734600103998e-05,0.196905941200635,10.4163595163486,354500,240500
"7306.1",344500,241500,"7306_7334",9.34434311171214e-05,0.19629428975767,10.6126538061063,354500,240500
"7008.1",349500,252500,"7008_7262",9.04688969577012e-05,0.190045759890959,10.8026995659972,342500,243500
"6484",343500,271500,"6484_6641",8.95063363028343e-05,0.1880237326833,10.9907232986805,352500,264500
"6592",339500,266500,"6592_6594",8.5221829699064e-05,0.179023376310523,11.1697466749911,346500,266500
"7795",388500,227500,"7795_7826",8.44883966817072e-05,0.177482671827546,11.3472293468186,398500,226500
"6095",360500,282500,"6095_6235",8.33178143226495e-05,0.175023658603962,11.5222530054226,361500,278500
"6342",357500,275500,"6342_6641",8.27556171469496e-05,0.173842664991158,11.6960956704137,352500,264500
"6414",344500,273500,"6414_6641",8.23871149941427e-05,0.173068561691497,11.8691642321052,352500,264500
