"","xma","yma","label","powr","perc","cumsum_perc","xmb","ymb"
"6486",513500,387500,"6486_6859",4.45360985777287e-07,5.88876062785734,5.88876062785734,520500,364500
"6486.1",513500,387500,"6486_6860",3.90664632700953e-07,5.16554117045213,11.0543017983095,521500,364500
"6486.2",513500,387500,"6486_6899",3.40331449652826e-07,4.50001348375717,15.5543152820666,522500,362500
"6486.3",513500,387500,"6486_6898",2.53624597310154e-07,3.35353699716097,18.9078522792276,521500,362500
"9053",484500,121500,"9053_9673",2.40712523463159e-07,3.18280782571936,22.090660104947,474500,98500
"6459",513500,388500,"6459_6859",2.22049965539669e-07,2.93604320146036,25.0267033064073,520500,364500
"6459.1",513500,388500,"6459_6860",1.96128944296653e-07,2.59330395351451,27.6200072599218,521500,364500
"6459.2",513500,388500,"6459_6899",1.71227709125944e-07,2.26404876964975,29.8840560295716,522500,362500
"7663",334500,274500,"7663_7758",1.3696139758536e-07,1.81096438932419,31.6950204188958,326500,256500
"6486.4",513500,387500,"6486_6878",1.34603804008675e-07,1.77979124063304,33.4748116595288,520500,363500
"6486.5",513500,387500,"6486_6880",1.32945537132298e-07,1.75786489997021,35.232676559499,522500,363500
"6459.3",513500,388500,"6459_6898",1.26768853017938e-07,1.67619404108284,36.9088706005819,521500,362500
"9037",484500,122500,"9037_9673",1.17768531346951e-07,1.55718779314746,38.4660583937293,474500,98500
"9054",485500,121500,"9054_9673",1.0983733230045e-07,1.45231795908415,39.9183763528135,474500,98500
"7663.1",334500,274500,"7663_7757",9.73478414530257e-08,1.28717636762675,41.2055527204402,325500,256500
"6378",511500,391500,"6378_6859",9.71022656290418e-08,1.28392925508297,42.4894819755232,520500,364500
"6485",512500,387500,"6485_6859",8.96994017208727e-08,1.18604530272075,43.6755272782439,520500,364500
"6378.1",511500,391500,"6378_6860",8.40865345418595e-08,1.11182948160324,44.7873567598472,521500,364500
"9089",491500,119500,"9089_9673",7.91458370601301e-08,1.04650138656639,45.8338581464136,474500,98500
"6458",512500,388500,"6458_6859",7.77414384334477e-08,1.02793180458069,46.8617899509943,520500,364500
"6485.1",512500,387500,"6485_6860",7.70060292685625e-08,1.0182078981905,47.8799978491848,521500,364500
"6378.2",511500,391500,"6378_6899",7.30507840419032e-08,0.965909890264142,48.8459077394489,522500,362500
"7647",334500,275500,"7647_7758",7.19565400946233e-08,0.951441311111959,49.7973490505609,326500,256500
"6458.1",512500,388500,"6458_6860",6.72445231387681e-08,0.889136931488297,50.6864859820492,521500,364500
"6459.4",513500,388500,"6459_6880",6.70579328424394e-08,0.886669751771954,51.5731557338211,522500,363500
"6459.5",513500,388500,"6459_6878",6.69874692617822e-08,0.885738051033174,52.4588937848543,520500,363500
"6485.2",512500,387500,"6485_6899",6.6746981625792e-08,0.882558216769439,53.3414520016237,522500,362500
"9088",490500,119500,"9088_9673",6.13236191980417e-08,0.810848111584995,54.1523001132087,474500,98500
"7912",578500,204500,"7912_7918",6.10073795957651e-08,0.806666651200436,54.9589667644092,563500,201500
"6486.6",513500,387500,"6486_6879",5.90169564220929e-08,0.780348392546866,55.739315156956,521500,363500
"6458.2",512500,388500,"6458_6899",5.83847910772026e-08,0.771989621769519,56.5113047787256,522500,362500
"6378.3",511500,391500,"6378_6898",5.50368059035219e-08,0.727721075796611,57.2390258545222,521500,362500
"7647.1",334500,275500,"7647_7757",5.17079520194522e-08,0.683705492226382,57.9227313467485,325500,256500
"6485.3",512500,387500,"6485_6898",5.072606530689e-08,0.670722550301506,58.5934538970501,521500,362500
"7663.2",334500,274500,"7663_7737",4.79590859276828e-08,0.634136320823118,59.2275902178732,328500,259500
"7663.3",334500,274500,"7663_7738",4.51677629564325e-08,0.59722820956581,59.824818427439,329500,259500
"7663.4",334500,274500,"7663_7762",4.50992017502668e-08,0.596321662866929,60.4211400903059,325500,255500
"6458.3",512500,388500,"6458_6898",4.40583846240828e-08,0.582559516856822,61.0036996071627,521500,362500
"7663.5",334500,274500,"7663_7736",3.94211747404289e-08,0.521244269544999,61.5249438767077,327500,259500
"7663.6",334500,274500,"7663_7742",3.67702389618129e-08,0.486192420059694,62.0111362967674,328500,258500
"9038",485500,122500,"9038_9673",3.67521824989776e-08,0.485953669493707,62.4970899662611,474500,98500
"6486.7",513500,387500,"6486_6861",3.62059619637792e-08,0.478731299136794,62.9758212653979,522500,364500
