"","xma","yma","label","powr","perc","cumsum_perc","xmb","ymb"
"7863",344500,224500,"7863_7880",4.79850393768329e-09,29.1448943542941,29.1448943542941,363500,213500
"7863.1",344500,224500,"7863_7921",4.21580082113751e-09,25.6057035998016,54.7505979540957,355500,199500
"7863.2",344500,224500,"7863_7922",1.23842655923401e-09,7.52188842671936,62.272486380815,356500,199500
"7863.3",344500,224500,"7863_7926",1.00655730105526e-09,6.11357343492405,68.3860598157391,355500,198500
"7860",331500,225500,"7860_7921",6.00449303267502e-10,3.64697658605858,72.0330364017977,355500,199500
"7921",355500,199500,"7921_7981",4.71920215805112e-10,2.86632354832162,74.8993599501193,362500,173500
"7926",355500,198500,"7926_7981",3.40992390522033e-10,2.07110118621284,76.9704611363321,362500,173500
"7863.4",344500,224500,"7863_7927",2.73925528405706e-10,1.66375409711197,78.6342152334441,356500,198500
"7857",330500,226500,"7857_7921",2.46896693882718e-10,1.49958782009678,80.1338030535409,355500,199500
"7854",330500,227500,"7854_7921",2.3535862033192e-10,1.42950849140242,81.5633115449433,355500,199500
"7921.1",355500,199500,"7921_7982",2.12741047689373e-10,1.2921350988246,82.8554466437679,363500,173500
"7922",356500,199500,"7922_7981",2.04434985452417e-10,1.24168618609261,84.0971328298605,362500,173500
"7860.1",331500,225500,"7860_7926",1.590950288095e-10,0.96630280336602,85.0634356332265,355500,198500
"7859",330500,225500,"7859_7921",1.58823219058779e-10,0.96465189996527,86.0280875331918,355500,199500
"7848",338500,229500,"7848_7921",1.55415156416286e-10,0.943952192940288,86.9720397261321,355500,199500
"7926.1",355500,198500,"7926_7982",1.52800963284872e-10,0.92807424772523,87.9001139738573,363500,173500
"7860.2",331500,225500,"7860_7922",1.50668513381912e-10,0.915122288542798,88.8152362624001,356500,199500
"7921.2",355500,199500,"7921_7988",1.47246301247108e-10,0.894336641094735,89.7095729034949,362500,172500
"7927",356500,198500,"7927_7981",1.36501156277619e-10,0.829073359241821,90.5386462627367,362500,173500
"7848.1",338500,229500,"7848_7880",1.27379706143924e-10,0.773671987489933,91.3123182502266,363500,213500
"7926.2",355500,198500,"7926_7988",1.0655223322059e-10,0.64717120601708,91.9594894562437,362500,172500
"7922.1",356500,199500,"7922_7982",9.40551294459339e-11,0.571266971285358,92.530756427529,363500,173500
"7852",330500,228500,"7852_7921",8.611157323339e-11,0.523019828088522,93.0537762556176,355500,199500
"7857.1",330500,226500,"7857_7926",6.5466319070407e-11,0.39762579709223,93.4514020527098,355500,198500
"7922.2",356500,199500,"7922_7988",6.34695181525924e-11,0.385497735397992,93.8368997881078,362500,172500
"7927.1",356500,198500,"7927_7982",6.24655297112124e-11,0.379399764564383,94.2162995526722,363500,173500
"7854.1",330500,227500,"7854_7926",6.19744815116559e-11,0.37641726250024,94.5927168151724,355500,198500
"7857.2",330500,226500,"7857_7922",6.19228095597175e-11,0.376103420186076,94.9688202353585,356500,199500
"7854.2",330500,227500,"7854_7922",5.94923916707971e-11,0.361341679124846,95.3301619144833,356500,199500
"7860.3",331500,225500,"7860_7880",5.94677508721188e-11,0.361192017171119,95.6913539316545,363500,213500
"7848.2",338500,229500,"7848_7922",4.34027847481544e-11,0.263617492575791,95.9549714242303,356500,199500
"7927.2",356500,198500,"7927_7988",4.24258967154273e-11,0.257684122742285,96.2126555469725,362500,172500
"7859.1",330500,225500,"7859_7926",4.24250481425414e-11,0.257678968726068,96.4703345156986,355500,198500
"7859.2",330500,225500,"7859_7922",3.95165485632331e-11,0.240013480884586,96.7103479965832,356500,199500
"7848.3",338500,229500,"7848_7926",3.80959104986379e-11,0.231384886046274,96.9417328826295,355500,198500
"7860.4",331500,225500,"7860_7927",3.69924166804443e-11,0.224682544822939,97.1664154274524,356500,198500
"7854.3",330500,227500,"7854_7880",3.09535274642312e-11,0.188003865278333,97.3544192927307,363500,213500
"7857.3",330500,226500,"7857_7880",2.62538325065194e-11,0.159459111576193,97.5138784043069,363500,213500
"7847",329500,229500,"7847_7921",2.60032278674118e-11,0.15793700263842,97.6718154069454,355500,199500
"7401",484500,297500,"7401_7720",2.37193485136936e-11,0.144065299427063,97.8158807063724,472500,264500
"7852.1",330500,228500,"7852_7926",2.252676633301e-11,0.13682185811364,97.952702564486,355500,198500
"7852.2",330500,228500,"7852_7922",2.19337095983889e-11,0.133219782112223,98.0859223465983,356500,199500
"7921.3",355500,199500,"7921_7978",1.53386715941363e-11,0.0931631960610927,98.1790855426594,366500,174500
"7857.4",330500,226500,"7857_7927",1.52100658113672e-11,0.0923820771955396,98.2714676198549,356500,198500
"7854.4",330500,227500,"7854_7927",1.45092618624905e-11,0.0881255719767595,98.3595931918317,356500,198500
"7852.3",330500,228500,"7852_7880",1.39099220123178e-11,0.0844853339270573,98.4440785257587,363500,213500
"7859.3",330500,225500,"7859_7880",1.35600050471291e-11,0.0823600271406833,98.5264385528994,363500,213500
"7832",327500,234500,"7832_7921",1.28077252921587e-11,0.0777908709477908,98.6042294238472,355500,199500
"7926.3",355500,198500,"7926_7978",1.07488350721455e-11,0.0652856945993591,98.6695151184466,366500,174500
"7848.4",338500,229500,"7848_7927",9.84963554100989e-12,0.0598241849957987,98.7293393034423,356500,198500
"7859.4",330500,225500,"7859_7927",9.780016189324e-12,0.059401334733248,98.7887406381756,356500,198500
"7851",329500,228500,"7851_7921",7.86085747612688e-12,0.0477448520728925,98.8364854902485,355500,199500
"7922.3",356500,199500,"7922_7978",7.2349504595333e-12,0.043943251800988,98.8804287420495,366500,174500
"7847.1",329500,229500,"7847_7926",6.8099599535315e-12,0.0413619673923771,98.9217907094419,355500,198500
"7847.2",329500,229500,"7847_7922",6.61672828168606e-12,0.0401883272880912,98.96197903673,356500,199500
"7369",487500,299500,"7369_7720",6.22004042537829e-12,0.0377789459863633,98.9997579827163,472500,264500
"7382",487500,298500,"7382_7720",5.33385694487843e-12,0.0323964925689845,99.0321544752853,472500,264500
"7852.4",330500,228500,"7852_7927",5.31339735269132e-12,0.0322722262016815,99.064426701487,356500,198500
