"","xma","yma","label","powr","perc","cumsum_perc","xmb","ymb"
"7863",344500,224500,"7863_7880",4.79850726966125e-09,29.1535507833241,29.1535507833241,363500,213500
"7863.1",344500,224500,"7863_7921",4.2158037484955e-09,25.6133088411405,54.7668596244645,355500,199500
"7863.2",344500,224500,"7863_7922",1.23842741916977e-09,7.52412252962485,62.2909821540894,356500,199500
"7863.3",344500,224500,"7863_7926",1.00655799998618e-09,6.11538924917162,68.406371403261,355500,198500
"7860",331500,225500,"7860_7921",6.00449720206095e-10,3.64805978757992,72.0544311908409,355500,199500
"7921",355500,199500,"7921_7981",4.71920535431447e-10,2.86717483630392,74.9216060271448,362500,173500
"7926",355500,198500,"7926_7981",3.40992621472402e-10,2.0717162959589,76.9933223231038,362500,173500
"7863.4",344500,224500,"7863_7927",2.73925718613478e-10,1.66424825464948,78.6575705777532,356500,198500
"7857",330500,226500,"7857_7921",2.46896865322271e-10,1.50003321802292,80.1576037957761,355500,199500
"7854",330500,227500,"7854_7921",2.35358783759692e-10,1.42993307481724,81.5875368705934,355500,199500
"7921.1",355500,199500,"7921_7982",2.1274119181101e-10,1.29251885860017,82.8800557291936,363500,173500
"7922",356500,199500,"7922_7981",2.04435123913968e-10,1.24205496250957,84.1221106917031,362500,173500
"7860.1",331500,225500,"7860_7926",1.59095139281536e-10,0.966589808407587,85.0887005001107,355500,198500
"7859",330500,225500,"7859_7921",1.58823329342077e-10,0.964938414666132,86.0536389147769,355500,199500
"7848",338500,229500,"7848_7921",1.55415264333101e-10,0.944232559547348,86.9978714743242,355500,199500
"7926.1",355500,198500,"7926_7982",1.52801066800039e-10,0.9283498826533,87.9262213569775,363500,173500
"7860.2",331500,225500,"7860_7922",1.50668618002764e-10,0.915394092277143,88.8416154492546,356500,199500
"7921.2",355500,199500,"7921_7988",1.47246400963279e-10,0.894602255848554,89.7362177051032,362500,172500
"7927",356500,198500,"7927_7981",1.3650124872834e-10,0.829319591104785,90.565537296208,362500,173500
"7848.1",338500,229500,"7848_7880",1.27379794593654e-10,0.773901778566572,91.3394390747745,363500,213500
"7926.2",355500,198500,"7926_7988",1.06552305378468e-10,0.647363413528957,91.9868024883035,362500,172500
"7922.1",356500,199500,"7922_7982",9.40551931636761e-11,0.571436635653187,92.5582391239567,363500,173500
"7852",330500,228500,"7852_7921",8.61116330273443e-11,0.523175172072808,93.0814142960295,355500,199500
"7857.1",330500,226500,"7857_7926",6.54663645287576e-11,0.3977438973482,93.4791581933777,355500,198500
"7922.2",356500,199500,"7922_7988",6.34695611345704e-11,0.385612226833745,93.8647704202114,362500,172500
"7927.1",356500,198500,"7927_7982",6.24655720285485e-11,0.379512445017559,94.244282865229,363500,173500
"7854.1",330500,227500,"7854_7926",6.19745245453525e-11,0.37652906353372,94.6208119287627,355500,198500
"7857.2",330500,226500,"7857_7922",6.19228525575342e-11,0.376215128004131,94.9970270567669,356500,199500
"7854.2",330500,227500,"7854_7922",5.94924329809859e-11,0.361449002505547,95.3584760592724,356500,199500
"7860.3",331500,225500,"7860_7880",5.94677921652465e-11,0.361299296100486,95.7197753553729,363500,213500
"7848.2",338500,229500,"7848_7922",4.34028148860793e-11,0.263695790547349,95.9834711459202,356500,199500
"7927.2",356500,198500,"7927_7988",4.24259254465255e-11,0.257760653996491,96.2412317999167,362500,172500
"7859.1",330500,225500,"7859_7926",4.24250776015478e-11,0.257755502875481,96.4989873027922,355500,198500
"7859.2",330500,225500,"7859_7922",3.95165760026423e-11,0.240084768144458,96.7390720709367,356500,199500
"7848.3",338500,229500,"7848_7926",3.80959369515878e-11,0.231453610496422,96.9705256814331,355500,198500
"7860.4",331500,225500,"7860_7927",3.69924423671527e-11,0.224749278586819,97.1952749600199,356500,198500
"7854.3",330500,227500,"7854_7880",3.09535489576952e-11,0.188059704976956,97.3833346649969,363500,213500
"7857.3",330500,226500,"7857_7880",2.62538507366162e-11,0.159506473095701,97.5428411380926,363500,213500
"7847",329500,229500,"7847_7921",2.60032459234728e-11,0.157983912070794,97.7008250501634,355500,199500
"7401",484500,297500,"7401_7720",2.37795720764776e-11,0.144473879725151,97.8452989298885,472500,264500
"7852.1",330500,228500,"7852_7926",2.25267819750937e-11,0.13686249606164,97.9821614259501,355500,198500
"7852.2",330500,228500,"7852_7922",2.19337248286672e-11,0.133259350194784,98.1154207761449,356500,199500
"7921.3",355500,199500,"7921_7978",1.53386820651588e-11,0.0931908657017495,98.2086116418467,366500,174500
"7857.4",330500,226500,"7857_7927",1.52100763728974e-11,0.0924095159257319,98.3010211577724,356500,198500
"7854.4",330500,227500,"7854_7927",1.4509271937398e-11,0.0881517464671576,98.3891729042396,356500,198500
"7852.3",330500,228500,"7852_7880",1.39099316710686e-11,0.0845104272174403,98.473683331457,363500,213500
"7859.3",330500,225500,"7859_7880",1.3560014462905e-11,0.0823844891861168,98.5560678206431,363500,213500
"7832",327500,234500,"7832_7921",1.28077341855573e-11,0.0778139758917817,98.6338817965349,355500,199500
