"","x1","y1","x2","y2","label","power","perc"
"1",363500,213500,344500,224500,"7863_7880",1.9194029078645e-08,0.291535507833241
"2",355500,199500,344500,224500,"7863_7921",1.6863214993982e-08,0.256133088411405
"3",356500,199500,344500,224500,"7863_7922",4.95370967667909e-09,0.0752412252962485
"4",355500,198500,344500,224500,"7863_7926",4.02623199994473e-09,0.0611538924917162
"5",355500,199500,331500,225500,"7860_7921",2.40179888082438e-09,0.0364805978757992
"6",362500,173500,355500,199500,"7921_7981",1.88768214172579e-09,0.0286717483630392
"7",362500,173500,355500,198500,"7926_7981",1.36397048588961e-09,0.020717162959589
"8",356500,198500,344500,224500,"7863_7927",1.09570287445391e-09,0.0166424825464948
"9",355500,199500,330500,226500,"7857_7921",9.87587461289083e-10,0.0150003321802292
"10",355500,199500,330500,227500,"7854_7921",9.4143513503877e-10,0.0142993307481724
"11",363500,173500,355500,199500,"7921_7982",8.50964767244041e-10,0.0129251885860017
"12",362500,173500,356500,199500,"7922_7981",8.17740495655871e-10,0.0124205496250957
"13",355500,198500,331500,225500,"7860_7926",6.36380557126146e-10,0.00966589808407587
"14",355500,199500,330500,225500,"7859_7921",6.35293317368307e-10,0.00964938414666132
"15",355500,199500,338500,229500,"7848_7921",6.21661057332406e-10,0.00944232559547348
"16",363500,173500,355500,198500,"7926_7982",6.11204267200156e-10,0.009283498826533
"17",356500,199500,331500,225500,"7860_7922",6.02674472011056e-10,0.00915394092277143
"18",362500,172500,355500,199500,"7921_7988",5.88985603853115e-10,0.00894602255848554
"19",362500,173500,356500,198500,"7927_7981",5.4600499491336e-10,0.00829319591104785
"20",363500,213500,338500,229500,"7848_7880",5.09519178374615e-10,0.00773901778566572
"21",362500,172500,355500,198500,"7926_7988",4.26209221513873e-10,0.00647363413528957
"22",363500,173500,356500,199500,"7922_7982",3.76220772654704e-10,0.00571436635653187
"23",355500,199500,330500,228500,"7852_7921",3.44446532109377e-10,0.00523175172072808
"24",355500,198500,330500,226500,"7857_7926",2.6186545811503e-10,0.003977438973482
"25",362500,172500,356500,199500,"7922_7988",2.53878244538281e-10,0.00385612226833745
"26",363500,173500,356500,198500,"7927_7982",2.49862288114194e-10,0.00379512445017559
"27",355500,198500,330500,227500,"7854_7926",2.4789809818141e-10,0.00376529063533719
"28",356500,199500,330500,226500,"7857_7922",2.47691410230137e-10,0.00376215128004131
"29",356500,199500,330500,227500,"7854_7922",2.37969731923944e-10,0.00361449002505547
"30",363500,213500,331500,225500,"7860_7880",2.37871168660986e-10,0.00361299296100486
"31",356500,199500,338500,229500,"7848_7922",1.73611259544317e-10,0.00263695790547349
"32",362500,172500,356500,198500,"7927_7988",1.69703701786102e-10,0.00257760653996491
"33",355500,198500,330500,225500,"7859_7926",1.69700310406191e-10,0.00257755502875481
"34",356500,199500,330500,225500,"7859_7922",1.58066304010569e-10,0.00240084768144458
"35",355500,198500,338500,229500,"7848_7926",1.52383747806351e-10,0.00231453610496422
"36",356500,198500,331500,225500,"7860_7927",1.47969769468611e-10,0.00224749278586819
"37",363500,213500,330500,227500,"7854_7880",1.23814195830781e-10,0.00188059704976956
"38",363500,213500,330500,226500,"7857_7880",1.05015402946465e-10,0.00159506473095701
"39",355500,199500,329500,229500,"7847_7921",1.04012983693891e-10,0.00157983912070794
"40",472500,264500,484500,297500,"7401_7720",9.51182883059103e-11,0.00144473879725151
"41",355500,198500,330500,228500,"7852_7926",9.01071279003747e-11,0.0013686249606164
"42",356500,199500,330500,228500,"7852_7922",8.77348993146689e-11,0.00133259350194784
"43",366500,174500,355500,199500,"7921_7978",6.13547282606354e-11,0.000931908657017495
"44",356500,198500,330500,226500,"7857_7927",6.08403054915896e-11,0.000924095159257319
"45",356500,198500,330500,227500,"7854_7927",5.80370877495921e-11,0.000881517464671576
"46",363500,213500,330500,228500,"7852_7880",5.56397266842743e-11,0.000845104272174403
"47",363500,213500,330500,225500,"7859_7880",5.42400578516201e-11,0.000823844891861168
"48",355500,199500,327500,234500,"7832_7921",5.12309367422292e-11,0.000778139758917817
"49",366500,174500,355500,198500,"7926_7978",4.2995369639571e-11,0.000653050845707852
"50",356500,198500,338500,229500,"7848_7927",3.93985695215078e-11,0.000598419535903238
"51",356500,198500,330500,225500,"7859_7927",3.91200919213957e-11,0.000594189777355087
"52",355500,199500,329500,228500,"7851_7921",3.14434517381234e-11,0.0004775903294167
"53",366500,174500,356500,199500,"7922_7978",2.89398215940368e-11,0.000439563030276315
"54",355500,198500,329500,229500,"7847_7926",2.72398587288627e-11,0.000413742524578135
"55",356500,199500,329500,229500,"7847_7922",2.6466931504778e-11,0.00040200263766495
"56",472500,264500,487500,299500,"7369_7720",2.49433325756867e-11,0.000378860899903335
"57",472500,264500,487500,298500,"7382_7720",2.13895985537982e-11,0.000324883715200192
"58",356500,198500,330500,228500,"7852_7927",2.12536041687833e-11,0.000322818114906719
"59",366500,174500,356500,198500,"7927_7978",1.87897432549729e-11,0.000285394865218233
"60",363500,172500,355500,199500,"7921_7989",1.86370159856149e-11,0.00028307511141095
"61",347500,165500,355500,199500,"7921_8040",1.85368586470804e-11,0.000281553835162319
"62",472500,264500,495500,302500,"7344_7720",1.79686393284129e-11,0.000272923228896713
"63",472500,264500,495500,301500,"7351_7720",1.79653382408464e-11,0.000272873089124799
"64",363500,213500,329500,229500,"7847_7880",1.76426509633711e-11,0.000267971835775405
"65",363500,213500,327500,234500,"7832_7880",1.58548648683382e-11,0.000240817394934606
"66",472500,264500,496500,302500,"7345_7720",1.52385667975679e-11,0.000231456527015605
"67",493500,234500,472500,264500,"7720_7833",1.51925358878122e-11,0.000230757369762239
"68",347500,165500,355500,198500,"7926_8040",1.3459857117833e-11,0.000204439946617364
"69",363500,172500,355500,198500,"7926_7989",1.34110988966641e-11,0.000203699364600358
"70",356500,199500,327500,234500,"7832_7922",1.32729147033098e-11,0.000201600503604627
"71",355500,198500,327500,234500,"7832_7926",1.3227513808367e-11,0.000200910915560919
"72",472500,264500,472500,305500,"7338_7720",1.26780329856659e-11,0.000192564925772406
"73",355500,199500,363500,213500,"7880_7921",1.19305678174951e-11,0.000181211778577648
"74",355500,199500,326500,235500,"7828_7921",1.07381174448867e-11,0.000163099811386189
"75",355500,199500,328500,233500,"7836_7921",1.02714403356921e-11,0.000156011515986316
"76",355500,199500,326500,234500,"7831_7921",8.41822788570315e-12,0.000127863323102127
"77",355500,198500,329500,228500,"7851_7926",8.28721430271221e-12,0.000125873375535943
"78",363500,172500,356500,199500,"7922_7989",8.19364973693959e-12,0.000124452236019797
"79",356500,199500,329500,228500,"7851_7922",7.94225452604107e-12,0.000120633828213086
"80",472500,264500,471500,305500,"7337_7720",7.40436760543224e-12,0.000112463936633052
"81",356500,198500,329500,229500,"7847_7927",6.41701289767222e-12,9.74671397146488e-05
"82",347500,165500,356500,199500,"7922_8040",6.03696966614551e-12,9.16947145480642e-05
"83",356500,199500,363500,213500,"7880_7922",5.91548185190536e-12,8.98494525931651e-05
"84",347500,157500,355500,199500,"7921_8221",5.59268168931986e-12,8.49464846471219e-05
"85",363500,172500,356500,198500,"7927_7989",5.44976019917995e-12,8.2775669492185e-05
"86",348500,157500,355500,199500,"7921_8222",5.23881303309221e-12,7.95716215593936e-05
"87",355500,199500,327500,233500,"7835_7921",5.07887422942215e-12,7.71423327342522e-05
"88",355500,199500,328500,230500,"7842_7921",4.62016760849398e-12,7.01751000010503e-05
"89",363500,213500,329500,228500,"7851_7880",4.3784681671548e-12,6.65039599248781e-05
"90",347500,157500,355500,198500,"7926_8221",4.08313578725952e-12,6.20181964095898e-05
"91",347500,165500,356500,198500,"7927_8040",4.01276076834443e-12,6.09492797796253e-05
"92",348500,157500,355500,198500,"7926_8222",3.83412870670954e-12,5.82360615912686e-05
"93",471500,263500,484500,297500,"7401_7721",3.78926334885865e-12,5.755460774791e-05
"94",472500,264500,452500,310500,"7300_7720",3.5621064994263e-12,5.41043531304082e-05
"95",363500,213500,326500,235500,"7828_7880",3.39568334899594e-12,5.15765744406331e-05
"96",356500,198500,327500,234500,"7832_7927",3.16981114402223e-12,4.81458321138078e-05
"97",363500,213500,328500,233500,"7836_7880",3.10625512704307e-12,4.71804883806104e-05
"98",355500,199500,329500,230500,"7843_7921",3.07769570577431e-12,4.67467031993492e-05
"99",355500,198500,363500,213500,"7880_7926",2.92104299100332e-12,4.43673263333932e-05
"100",471500,264500,484500,297500,"7401_7719",2.91428909055016e-12,4.42647422542298e-05
"101",326500,256500,334500,274500,"7663_7758",2.89151443688915e-12,4.39188211246127e-05
"102",472500,264500,453500,310500,"7301_7720",2.80031328389833e-12,4.25335791650839e-05
"103",356500,199500,326500,235500,"7828_7922",2.77811120780039e-12,4.21963548385162e-05
"104",355500,198500,326500,235500,"7828_7926",2.7761187484275e-12,4.21660916429812e-05
"105",348500,157500,362500,173500,"7981_8222",2.77570319999528e-12,4.21597799341304e-05
"106",356500,199500,328500,233500,"7836_7922",2.66513372834177e-12,4.04803552058839e-05
"107",355500,198500,328500,233500,"7836_7926",2.64837784862071e-12,4.02258524183944e-05
"108",347500,158500,355500,199500,"7921_8199",2.47715997526124e-12,3.76252473314969e-05
"109",491500,229500,472500,264500,"7720_7849",2.44907132301892e-12,3.71986125972125e-05
"110",344500,224500,338500,229500,"7848_7863",2.41512583938654e-12,3.66830192442556e-05
"111",348500,157500,362500,172500,"7988_8222",2.3646723713443e-12,3.59166883521133e-05
"112",492500,230500,472500,264500,"7720_7845",2.34504764786812e-12,3.56186110854138e-05
