"","xm","ym","cover","x","y","progress","flow","std_flow","conductance"
"1",395500,640500,0.116249993443489,395.5,640.5,0.999999999897431,8.19313252823424e-17,5.98271234639721e-09,1.67001395134481e-08
"2",395500,639500,0.27250000834465,395.5,639.5,0.999999999897431,2.76203541054579e-16,2.01686757719515e-08,1.67001395134481e-08
"3",396500,637500,0.123125001788139,396.5,637.5,0.999999999897431,2.1784685065601e-16,1.59074082904448e-08,1.67001395134481e-08
"4",397500,637500,0.193124994635582,397.5,637.5,0.999999999897431,4.70919558474421e-16,3.43870460649321e-08,1.67001395134481e-08
"5",398500,637500,0.113750003278255,398.5,637.5,0.999999999897432,5.00061124604983e-16,3.65149941590444e-08,1.67001395134481e-08
"6",399500,637500,0.321875005960464,399.5,637.5,0.999999999897432,1.3976569026161e-15,1.02058390713115e-07,1.67001395134481e-08
"7",396500,636500,0.00499999988824129,396.5,636.5,0.999999999897431,1.26890221919591e-17,9.26565870501095e-10,1.67001395134481e-08
"8",397500,636500,0.0268750004470348,397.5,636.5,0.999999999897432,1.85567813131601e-16,1.35503587045677e-08,1.67001395134481e-08
"9",398500,636500,0.408125013113022,398.5,636.5,0.999999999897431,2.74359821928334e-15,2.00340454441513e-07,1.67001395134481e-08
"10",399500,636500,0.733124971389771,399.5,636.5,0.999999999897431,2.99240318863595e-15,2.18508457422805e-07,1.67001395134481e-08
"11",400500,636500,0.133124992251396,400.5,636.5,0.999999999897431,5.71923209928894e-16,4.17624399146653e-08,1.67001395134481e-08
"12",404500,636500,0.0949999988079071,404.5,636.5,0.999999999897432,4.42723660046195e-16,3.23281516303187e-08,1.67001395134481e-08
"13",405500,636500,0.215000003576279,405.5,636.5,0.999999999897432,8.48255644860029e-16,6.19405276543103e-08,1.67001395134481e-08
"14",406500,636500,0.0431249998509884,406.5,636.5,0.999999999897432,1.22014687400846e-16,8.90964199882361e-09,1.67001395134481e-08
"15",398500,635500,0.0199999995529652,398.5,635.5,0.999999999897431,7.3193088172508e-17,5.34463699655273e-09,1.67001395134481e-08
"16",399500,635500,0.215000003576279,399.5,635.5,0.999999999897432,1.31222290308021e-15,9.58199093744566e-08,1.67001395134481e-08
"17",404500,635500,0.0106250001117587,404.5,635.5,0.999999999897432,5.92146165310425e-17,4.32391415843232e-09,1.67001395134481e-08
"18",405500,635500,0.435000002384186,405.5,635.5,0.999999999897432,1.86093924611859e-15,1.35887759233504e-07,1.67001395134481e-08
"19",406500,635500,0.308750003576279,406.5,635.5,0.999999999897432,1.18985840198752e-15,8.68847236085097e-08,1.67001395134481e-08
"20",406500,633500,0.367500007152557,406.5,633.5,0.999999999897432,2.06017034218598e-15,1.50435825362314e-07,1.67001395134481e-08
"21",407500,633500,0.0106250001117587,407.5,633.5,0.999999999897433,9.95453201920971e-17,7.26890495286147e-09,1.67001395134481e-08
"22",400500,632500,0.118749998509884,400.5,632.5,0.999999999897432,6.29452588420384e-16,4.59632962024833e-08,1.67001395134481e-08
"23",401500,632500,0.0324999988079071,401.5,632.5,0.999999999897431,1.93365477858247e-16,1.41197524605263e-08,1.67001395134481e-08
"24",406500,632500,0.343125015497208,406.5,632.5,0.999999999897432,2.35956019561125e-15,1.72297590277027e-07,1.67001395134481e-08
"25",407500,632500,0.194374993443489,407.5,632.5,0.999999999897433,1.59363217249202e-15,1.16368712957199e-07,1.67001395134481e-08
"26",408500,632500,0.216875001788139,408.5,632.5,0.999999999897433,1.38389166663317e-15,1.01053238569142e-07,1.67001395134481e-08
"27",399500,631500,0.00312500004656613,399.5,631.5,0.999999999897431,1.60825686410873e-17,1.17436623463907e-09,1.67001395134481e-08
"28",400500,631500,0.394374996423721,400.5,631.5,0.999999999897431,2.21235737363961e-15,1.61548683953354e-07,1.67001395134481e-08
"29",401500,631500,0.202500000596046,401.5,631.5,0.999999999897432,1.35006619983237e-15,9.85832670758885e-08,1.67001395134481e-08
"30",407500,631500,0.0231250002980232,407.5,631.5,0.999999999897433,2.04360447346398e-16,1.49226168042719e-08,1.67001395134481e-08
"31",408500,631500,0.0474999994039536,408.5,631.5,0.999999999897433,5.33029121307522e-16,3.89223522754739e-08,1.67001395134481e-08
"32",384500,629500,0.0106250001117587,384.5,629.5,0.999999999897431,5.6061929225322e-17,4.09370158463024e-09,1.67001395134481e-08
"33",385500,629500,0.409375011920929,385.5,629.5,0.999999999897431,2.87928668907127e-15,2.10248570545658e-07,1.67001395134481e-08
"34",386500,629500,0.0643749982118607,386.5,629.5,0.999999999897431,5.04547526040832e-16,3.68425959544341e-08,1.67001395134481e-08
"35",387500,629500,0.106250002980232,387.5,629.5,0.999999999897431,7.13610120044811e-16,5.21085684992111e-08,1.67001395134481e-08
"36",388500,629500,0.00187499995809048,388.5,629.5,0.999999999897431,1.48080245832023e-17,1.08129767453879e-09,1.67001395134481e-08
"37",392500,629500,0.601249992847443,392.5,629.5,0.999999999897431,2.5707819177039e-14,1.87721224646863e-06,1.67001395134481e-08
"38",393500,629500,0.696250021457672,393.5,629.5,0.999999999897431,1.94754039572543e-14,1.42211467109332e-06,1.67001395134481e-08
"39",394500,629500,0.224999994039536,394.5,629.5,0.999999999897431,6.96895586475695e-15,5.08880555146644e-07,1.67001395134481e-08
"40",409500,629500,0.0218750014901161,409.5,629.5,0.999999999897433,3.87029761107362e-16,2.82613240078908e-08,1.67001395134481e-08
"41",410500,629500,0.0187499988824129,410.5,629.5,0.999999999897433,2.58750509665653e-16,1.88942368926492e-08,1.67001395134481e-08
"42",411500,629500,0.0393749997019768,411.5,629.5,0.999999999897433,4.98844608907165e-16,3.64261628913964e-08,1.67001395134481e-08
"43",384500,628500,0.0225000008940697,384.5,628.5,0.999999999897431,1.51494184701142e-16,1.10622661856812e-08,1.67001395134481e-08
"44",385500,628500,0.741874992847443,385.5,628.5,0.999999999897432,8.50415105443882e-15,6.20982137585208e-07,1.67001395134481e-08
"45",386500,628500,0.00625000009313226,386.5,628.5,0.999999999897431,6.32234866775073e-17,4.61664611214731e-09,1.67001395134481e-08
"46",390500,628500,0.200625002384186,390.5,628.5,0.999999999897431,4.13038637649266e-15,3.01605197827297e-07,1.67001395134481e-08
"47",391500,628500,0.625,391.5,628.5,0.999999999897432,3.64732247790663e-14,2.66331359155579e-06,1.67001395134481e-08
"48",392500,628500,0.915000021457672,392.5,628.5,0.999999999897431,3.324155301972e-14,2.42733348910392e-06,1.67001395134481e-08
"49",393500,628500,0.987500011920929,393.5,628.5,0.999999999897431,2.86855655901985e-14,2.09465045058723e-06,1.67001395134481e-08
"50",394500,628500,0.781875014305115,394.5,628.5,0.999999999897431,5.44447423027284e-14,3.97561287881606e-06,1.67001395134481e-08
"51",395500,628500,0.798125028610229,395.5,628.5,0.999999999897431,2.57058603422831e-14,1.87706921027535e-06,1.67001395134481e-08
"52",396500,628500,0.171875,396.5,628.5,0.999999999897431,9.72636495541019e-15,7.10229494076531e-07,1.67001395134481e-08
"53",400500,628500,0.129374995827675,400.5,628.5,0.999999999897432,1.26306310181578e-15,9.22302085004914e-08,1.67001395134481e-08
"54",401500,628500,0.432500004768372,401.5,628.5,0.999999999897432,4.89747631436044e-15,3.57618919395495e-07,1.67001395134481e-08
"55",402500,628500,0.0100000007078052,402.5,628.5,0.999999999897432,9.57011361011679e-17,6.98819854974434e-09,1.67001395134481e-08
"56",408500,628500,0.041874997317791,408.5,628.5,0.999999999897433,7.10579274562473e-16,5.18872529446938e-08,1.67001395134481e-08
"57",409500,628500,0.830624997615814,409.5,628.5,0.999999999897433,2.00124629330915e-14,1.46133128762445e-06,1.67001395134481e-08
"58",410500,628500,0.46875,410.5,628.5,0.999999999897433,9.63914122260555e-15,7.03860324514695e-07,1.67001395134481e-08
"59",411500,628500,0.126874998211861,411.5,628.5,0.999999999897433,2.18739264946736e-15,1.59725733292968e-07,1.67001395134481e-08
"60",385500,627500,0.0337499976158142,385.5,627.5,0.999999999897432,3.34297484012175e-16,2.44107571563986e-08,1.67001395134481e-08
"61",389500,627500,0.0337500013411045,389.5,627.5,0.999999999897431,5.5216854468365e-16,4.03199332878729e-08,1.67001395134481e-08
"62",390500,627500,0.78125,390.5,627.5,0.999999999897431,1.57727537150051e-14,1.15174321985221e-06,1.67001395134481e-08
"63",391500,627500,1,391.5,627.5,0.999999999897431,2.91742481879436e-14,2.13033457263608e-06,1.67001395134481e-08
"64",392500,627500,0.962499976158142,392.5,627.5,0.999999999897431,3.00197019309942e-14,2.19207050244591e-06,1.67001395134481e-08
"65",393500,627500,0.963750004768372,393.5,627.5,0.999999999897431,3.12362964291451e-14,2.280907524178e-06,1.67001395134481e-08
