,x1,y1,x2,y2,label,power,perc
1,355500,199500,344500,224500,7863_7921,1.11E-06,0.129935407
2,355500,199500,331500,225500,7860_7921,7.21E-07,0.084760549
3,363500,213500,344500,224500,7863_7880,4.56E-07,0.053543687
4,355500,199500,330500,227500,7854_7921,4.24E-07,0.049826226
5,355500,199500,330500,226500,7857_7921,3.87E-07,0.045473214
6,356500,199500,344500,224500,7863_7922,3.51E-07,0.041293071
7,362500,173500,355500,199500,7921_7981,3.45E-07,0.040491209
8,355500,198500,344500,224500,7863_7926,3.14E-07,0.036876439
9,355500,198500,331500,225500,7860_7926,2.20E-07,0.025820585
10,355500,199500,330500,225500,7859_7921,2.17E-07,0.025508955
11,362500,173500,355500,198500,7926_7981,2.08E-07,0.02440048
12,356500,199500,331500,225500,7860_7922,2.06E-07,0.024199227
13,355500,199500,330500,228500,7852_7921,1.79E-07,0.02100116
14,363500,173500,355500,199500,7921_7982,1.64E-07,0.019230099
15,355500,199500,338500,229500,7848_7921,1.58E-07,0.018513054
16,362500,173500,356500,199500,7922_7981,1.43E-07,0.016757965
17,362500,172500,355500,199500,7921_7988,1.29E-07,0.015158307
18,355500,198500,330500,227500,7854_7926,1.29E-07,0.015114578
19,356500,199500,330500,227500,7854_7922,1.22E-07,0.014296563
20,355500,198500,330500,226500,7857_7926,1.18E-07,0.013859488
21,356500,199500,330500,226500,7857_7922,1.10E-07,0.012978367
22,363500,173500,355500,198500,7926_7982,9.82E-08,0.011541181
23,356500,198500,344500,224500,7863_7927,9.21E-08,0.010829479
24,355500,199500,327500,234500,7832_7921,9.09E-08,0.010684776
25,362500,173500,356500,198500,7927_7981,7.93E-08,0.009315797
26,362500,172500,355500,198500,7926_7988,7.78E-08,0.009143762
27,355500,199500,329500,229500,7847_7921,7.04E-08,0.008270203
28,363500,173500,356500,199500,7922_7982,6.87E-08,0.008069681
29,355500,198500,330500,225500,7859_7926,6.65E-08,0.007813832
30,356500,199500,330500,225500,7859_7922,6.16E-08,0.007240978
31,356500,198500,331500,225500,7860_7927,5.80E-08,0.006813259
32,363500,213500,331500,225500,7860_7880,5.65E-08,0.006638869
33,355500,198500,330500,228500,7852_7926,5.40E-08,0.006342295
34,362500,172500,356500,199500,7922_7988,5.32E-08,0.006252281
35,363500,213500,338500,229500,7848_7880,5.19E-08,0.006102159
36,356500,199500,330500,228500,7852_7922,5.15E-08,0.006057229
37,356500,199500,338500,229500,7848_7922,4.84E-08,0.005684482
38,355500,198500,338500,229500,7848_7926,4.55E-08,0.005348963
39,363500,213500,330500,227500,7854_7880,4.03E-08,0.00473279
40,363500,173500,356500,198500,7927_7982,3.80E-08,0.004469669
41,356500,198500,330500,227500,7854_7927,3.41E-08,0.004006902
42,363500,213500,330500,226500,7857_7880,3.18E-08,0.003738085
43,356500,198500,330500,226500,7857_7927,3.11E-08,0.00365513
44,472500,264500,495500,302500,7344_7720,2.98E-08,0.003505358
45,362500,172500,356500,198500,7927_7988,2.96E-08,0.003478298
46,472500,264500,496500,302500,7345_7720,2.79E-08,0.00328214
47,472500,264500,484500,297500,7401_7720,2.74E-08,0.00321996
48,355500,198500,327500,234500,7832_7926,2.72E-08,0.003198147
49,356500,199500,327500,234500,7832_7922,2.65E-08,0.003117575
50,472500,264500,495500,301500,7351_7720,2.54E-08,0.002985158
51,355500,199500,326500,235500,7828_7921,2.48E-08,0.002918012
52,355500,198500,329500,229500,7847_7926,2.13E-08,0.002499457
53,493500,234500,472500,264500,7720_7833,2.07E-08,0.002436033
54,347500,157500,355500,199500,7921_8221,2.03E-08,0.002384574
55,356500,199500,329500,229500,7847_7922,2.03E-08,0.002383699
56,363500,213500,330500,228500,7852_7880,1.95E-08,0.002294115
57,355500,199500,329500,228500,7851_7921,1.85E-08,0.002170858
58,348500,157500,355500,199500,7921_8222,1.84E-08,0.002160995
59,472500,264500,452500,310500,7300_7720,1.75E-08,0.002060255
60,356500,198500,330500,225500,7859_7927,1.74E-08,0.002049795
61,355500,199500,326500,234500,7831_7921,1.68E-08,0.001977292
62,363500,213500,327500,234500,7832_7880,1.55E-08,0.00181613
63,347500,165500,355500,199500,7921_8040,1.54E-08,0.001811339
64,363500,213500,330500,225500,7859_7880,1.54E-08,0.001806179
65,356500,198500,330500,228500,7852_7927,1.44E-08,0.001689908
66,355500,199500,328500,233500,7836_7921,1.40E-08,0.001644308
67,356500,198500,338500,229500,7848_7927,1.29E-08,0.001517039
