"","xm","ym","cover","x","y","progress","flow","std_flow","conductance"
"1",399500,653500,0.00562499975785613,399.5,653.5,0.797518263741113,1.98652459668082e-18,3.62685097252737e-14,8.71052728229867e-05
"2",396500,648500,0.0175000000745058,396.5,648.5,0.797518263741109,7.57900333716145e-17,1.3837188661092e-12,8.71052728229867e-05
"3",396500,647500,0.0187499988824129,396.5,647.5,0.797518263741109,1.32858083741689e-16,2.42562549203658e-12,8.71052728229867e-05
"4",397500,647500,0.00499999988824129,397.5,647.5,0.797518263741112,3.86126882024549e-17,7.04962153466206e-13,8.71052728229867e-05
"5",408500,641500,0.000624999986030161,408.5,641.5,0.797518263741408,2.06995821189418e-17,3.77917795049868e-13,8.71052728229867e-05
"6",390500,639500,0.0374999977648258,390.5,639.5,0.79751826374069,1.29091254298394e-14,2.35685348159892e-10,8.71052728229867e-05
"7",391500,639500,0.0293749999254942,391.5,639.5,0.797518263740777,1.10058575955196e-14,2.00936879364608e-10,8.71052728229867e-05
"8",387500,638500,0.00624999962747097,387.5,638.5,0.797518263740332,1.70737353591926e-15,3.11719743091165e-11,8.71052728229867e-05
"9",396500,638500,0.00374999991618097,396.5,638.5,0.797518263741127,8.36667721590706e-16,1.52752658829578e-11,8.71052728229867e-05
"10",397500,638500,0.0225000008940697,397.5,638.5,0.797518263741137,5.46731984757287e-15,9.98183175754248e-11,8.71052728229867e-05
"11",399500,638500,0.0237499997019768,399.5,638.5,0.797518263741164,6.85827877565415e-15,1.25213425944515e-10,8.71052728229867e-05
"12",400500,638500,0.00312500004656613,400.5,638.5,0.79751826374118,1.02462316926402e-15,1.87068186526782e-11,8.71052728229867e-05
"13",386500,637500,0.138125002384186,386.5,637.5,0.797518263740284,2.2205514232573e-14,4.05411999551585e-10,8.71052728229867e-05
"14",387500,637500,0.00499999988824129,387.5,637.5,0.7975182637403,1.29438499231304e-15,2.36319322501179e-11,8.71052728229867e-05
"15",396500,637500,0.209374994039536,396.5,637.5,0.797518263741124,6.11951180595778e-14,1.11725560216644e-09,8.71052728229867e-05
"16",397500,637500,0.263749986886978,397.5,637.5,0.797518263741135,7.83925355665447e-14,1.43123344323781e-09,8.71052728229867e-05
"17",399500,637500,0.19437500834465,399.5,637.5,0.797518263741164,7.04687301209013e-14,1.28656641251155e-09,8.71052728229867e-05
"18",400500,637500,0.196250006556511,400.5,637.5,0.797518263741181,8.02455158596249e-14,1.46506379897194e-09,8.71052728229867e-05
"19",404500,636500,0.122500002384186,404.5,636.5,0.797518263741391,6.05980592673333e-14,1.10635494045338e-09,8.71052728229867e-05
