"","xma","yma","label","powr","perc","cumsum_perc","xmb","ymb"
"11144",337500,258500,"11144_11190",6.20843604073742e-06,7.48933817514778,7.48933817514778,329500,251500
"11104",336500,263500,"11104_11190",5.54096159007774e-06,6.68415280294451,14.1734909780923,329500,251500
"10739",339500,283500,"10739_11022",4.57513542374403e-06,5.51906086503667,19.692551843129,341500,269500
"11283",393500,236500,"11283_11389",2.20386610416379e-06,2.65855981096128,22.3511116540902,383500,226500
"10872",325500,278500,"10872_11104",1.89899724935246e-06,2.29079151347539,24.6419031675656,336500,263500
"11144.1",337500,258500,"11144_11250",1.76196733692623e-06,2.12549008368905,26.7673932512547,337500,241500
"10873",326500,278500,"10873_11104",1.53053416466581e-06,1.84630845394649,28.6137017052012,336500,263500
"10872.1",325500,278500,"10872_11022",1.05727333406142e-06,1.27540615549475,29.8891078606959,341500,269500
"10873.1",326500,278500,"10873_11022",1.01145175108109e-06,1.22013082876053,31.1092386894564,341500,269500
"11285",457500,236500,"11285_11390",9.81795548144699e-07,1.18435606498362,32.2935947544401,444500,226500
"11155",337500,257500,"11155_11190",9.74124121265519e-07,1.17510189697623,33.4686966514163,329500,251500
"10817",324500,280500,"10817_11104",9.25146729112751e-07,1.11601966590192,34.5847163173182,336500,263500
"11104.1",336500,263500,"11104_11189",9.10750730944147e-07,1.09865353730753,35.6833698546257,328500,251500
"11144.2",337500,258500,"11144_11189",8.85185040067922e-07,1.06781322528741,36.7511830799132,328500,251500
"11602",515500,205500,"11602_11674",8.56253773992408e-07,1.03291296473017,37.7840960446433,507500,194500
"11228",388500,245500,"11228_11283",8.4697602401961e-07,1.02172106284138,38.8058171074847,393500,236500
"11283.1",393500,236500,"11283_11388",7.94655006710844e-07,0.958605361927019,39.7644224694117,382500,226500
"11156",383500,257500,"11156_11228",7.10353789016585e-07,0.856911421013992,40.6213338904257,388500,245500
"11618",516500,203500,"11618_11674",6.95562769746584e-07,0.839068771989132,41.4604026624148,507500,194500
"11286",458500,236500,"11286_11390",6.56243173766738e-07,0.791636898765184,42.25203956118,444500,226500
"10841",322500,279500,"10841_11104",6.28123889506093e-07,0.757716145182601,43.0097557063626,336500,263500
"10817.1",324500,280500,"10817_11022",6.20547780428305e-07,0.748576960601645,43.7583326669643,341500,269500
"11602.1",515500,205500,"11602_11667",5.60382534776024e-07,0.675998638440618,44.4343313054049,506500,195500
"11104.2",336500,263500,"11104_11250",5.58130080362974e-07,0.673281465756105,45.107612771161,337500,241500
"11285.1",457500,236500,"11285_11436",5.28181278384658e-07,0.637153734958141,45.7447665061191,452500,219500
"11286.1",458500,236500,"11286_11436",4.72570594388508e-07,0.570069655188999,46.3148361613081,452500,219500
"11144.3",337500,258500,"11144_11263",4.71981155124719e-07,0.569358604942002,46.8841947662501,327500,239500
"11680",454500,193500,"11680_11726",4.47996357817167e-07,0.540425350750453,47.4246201170006,459500,183500
"9738",468500,317500,"9738_9865",4.42981346436875e-07,0.53437566030784,47.9589957773084,476500,314500
"9708",480500,318500,"9708_9738",4.36877929163361e-07,0.52701300799324,48.4860087853017,468500,317500
"9739",485500,317500,"9739_10034",4.15124471735865e-07,0.500771455678908,48.9867802409806,488500,308500
"9708.1",480500,318500,"9708_9739",4.01452338451791e-07,0.484278537161547,49.4710587781421,485500,317500
"11618.1",516500,203500,"11618_11667",3.98508946354714e-07,0.480727875021771,49.9517866531639,506500,195500
"11180",400500,252500,"11180_11228",3.98073727913428e-07,0.480202863881209,50.4319895170451,388500,245500
"11602.2",515500,205500,"11602_11673",3.73566340246224e-07,0.450639200371625,50.8826287174167,506500,194500
"11121",389500,260500,"11121_11228",3.71635493735787e-07,0.448309988572376,51.3309387059891,388500,245500
"11270",460500,238500,"11270_11390",3.55671749808585e-07,0.429052662568246,51.7599913685574,444500,226500
"11155.1",337500,257500,"11155_11250",3.43688763597724e-07,0.414597389856664,52.174588758414,337500,241500
"10814",321500,280500,"10814_11104",3.16699026081237e-07,0.382039227029004,52.556627985443,336500,263500
"9866",487500,314500,"9866_10034",3.15728180174191e-07,0.380868079695582,52.9374960651386,488500,308500
"10740",340500,283500,"10740_11022",3.09339435737558e-07,0.373161232546545,53.3106572976851,341500,269500
"11634",477500,201500,"11634_11715",2.95631340057539e-07,0.356624932001399,53.6672822296865,476500,184500
"11135",472500,259500,"11135_11175",2.89502622643005e-07,0.349231759711924,54.0165139893985,464500,255500
"11270.1",460500,238500,"11270_11436",2.89387519303535e-07,0.349092908666553,54.365606898065,452500,219500
"11618.2",516500,203500,"11618_11673",2.83694168217269e-07,0.342224925916129,54.7078318239811,506500,194500
"11146",383500,258500,"11146_11228",2.71694050677394e-07,0.327748987401513,55.0355808113827,388500,245500
"10841.1",322500,279500,"10841_11022",2.67726962893761e-07,0.322963424372889,55.3585442357556,341500,269500
"10800",326500,281500,"10800_11022",2.65203501084638e-07,0.31991933102368,55.6784635667792,341500,269500
"10739.1",339500,283500,"10739_11104",2.64813355658918e-07,0.319448692200709,55.9979122589799,336500,263500
"11382",490500,227500,"11382_11554",2.63781130713035e-07,0.31820350232651,56.3161157613064,486500,209500
"11145",338500,258500,"11145_11190",2.57295635423821e-07,0.310379943037901,56.6264957043444,329500,251500
"11104.3",336500,263500,"11104_11263",2.48185056928305e-07,0.299389702842715,56.9258854071871,327500,239500
"11228.1",388500,245500,"11228_11269",2.45089442385731e-07,0.295655412271447,57.2215408194585,393500,238500
"10800.1",326500,281500,"10800_11104",2.43836724538675e-07,0.29414423819587,57.5156850576544,336500,263500
"11389",383500,226500,"11389_11476",2.42802628918426e-07,0.292896791696515,57.8085818493509,374500,214500
"9739.1",485500,317500,"9739_9923",2.38955757233068e-07,0.288256247318028,58.0968380966689,494500,312500
"11111",474500,262500,"11111_11175",2.32774168815933e-07,0.280799295871364,58.3776373925403,464500,255500
"11144.4",337500,258500,"11144_11267",2.22905583082673e-07,0.268894659118748,58.646532051659,327500,238500
"9708.2",480500,318500,"9708_9865",1.97381659423793e-07,0.238104731577624,58.8846367832367,476500,314500
"9836",488500,315500,"9836_9923",1.9421627561672e-07,0.234286277198815,59.1189230604355,494500,312500
"11196",483500,250500,"11196_11245",1.8927272157973e-07,0.228322786920878,59.3472458473564,486500,242500
"11388",382500,226500,"11388_11476",1.88232298387484e-07,0.227067707367692,59.574313554724,374500,214500
"10009",495500,309500,"10009_10034",1.78289070624331e-07,0.215073028710757,59.7893865834348,488500,308500
"9866.1",487500,314500,"9866_9923",1.78226484378142e-07,0.21499752989596,60.0043841133308,494500,312500
"11389.1",383500,226500,"11389_11470",1.77277012512701e-07,0.213852166419326,60.2182362797501,383500,215500
"11228.2",388500,245500,"11228_11389",1.76203586186776e-07,0.21255727464494,60.430793554395,383500,226500
"9923",494500,312500,"9923_10034",1.7580404478795e-07,0.212075301305576,60.6428688557006,488500,308500
"9503",484500,325500,"9503_9739",1.72735443608946e-07,0.208373597397631,60.8512424530982,485500,317500
"11481",493500,214500,"11481_11554",1.71535298519154e-07,0.206925842701003,61.0581682957992,486500,209500
"11633",465500,201500,"11633_11634",1.66260659553908e-07,0.200562959246406,61.2587312550457,477500,201500
"10874",360500,278500,"10874_11022",1.60392476570856e-07,0.193484073912748,61.4522153289584,341500,269500
"9707",478500,318500,"9707_9738",1.60310783171154e-07,0.193385525825431,61.6456008547838,468500,317500
"11374",489500,228500,"11374_11554",1.55749786540142e-07,0.187883520817854,61.8334843756017,486500,209500
"10840",321500,279500,"10840_11104",1.55452692257716e-07,0.18752513111449,62.0210095067162,336500,263500
"11619",517500,203500,"11619_11674",1.52783389316803e-07,0.184305107217129,62.2053146139333,507500,194500
"11379",485500,227500,"11379_11554",1.52774033991625e-07,0.184293821734999,62.3896084356683,486500,209500
"11380",488500,227500,"11380_11554",1.49088340581106e-07,0.179847709351756,62.5694561450201,486500,209500
"9836.1",488500,315500,"9836_10034",1.462880232517e-07,0.176469640649746,62.7459257856698,488500,308500
"11285.2",457500,236500,"11285_11395",1.41450448699254e-07,0.170633995161409,62.9165597808312,449500,225500
"10814.1",321500,280500,"10814_11022",1.39570804098961e-07,0.168366549065755,63.084926329897,341500,269500
"11389.2",383500,226500,"11389_11509",1.37510722960313e-07,0.165881439415862,63.2508077693128,375500,212500
"9739.2",485500,317500,"9739_9866",1.37277057027326e-07,0.165599564370253,63.4164073336831,487500,314500
"11155.2",337500,257500,"11155_11189",1.35259070273644e-07,0.163165233867027,63.5795725675501,328500,251500
