"","xma","yma","label","powr","perc","cumsum_perc","xmb","ymb"
"11283",393500,236500,"11283_11389",2.80664928440085e-06,8.3670811738981,8.3670811738981,383500,226500
"11228",388500,245500,"11228_11283",1.08602487801967e-06,3.23761802437073,11.6046991982688,393500,236500
"11283.1",393500,236500,"11283_11388",1.01199984603655e-06,3.0169372806292,14.621636478898,382500,226500
"11285",457500,236500,"11285_11390",9.15650279943104e-07,2.72970344451924,17.3513399234173,444500,226500
"11156",383500,257500,"11156_11228",9.10951853799677e-07,2.71569666670411,20.0670365901214,388500,245500
"11602",515500,205500,"11602_11674",8.06955123295558e-07,2.40566538107672,22.4727019711981,507500,194500
"11618",516500,203500,"11618_11674",6.55515202653617e-07,1.95419817567193,24.42690014687,507500,194500
"11286",458500,236500,"11286_11390",6.12030088398289e-07,1.82456192833145,26.2514620752015,444500,226500
"11602.1",515500,205500,"11602_11667",5.28118559146146e-07,1.57440791707654,27.825869992278,506500,195500
"11180",400500,252500,"11180_11228",5.09574552854841e-07,1.51912519729,29.344995189568,388500,245500
"11285.1",457500,236500,"11285_11436",4.92610665010795e-07,1.46855306937758,30.8135482589456,452500,219500
"11121",389500,260500,"11121_11228",4.76478199281993e-07,1.42045954695629,32.2340078059019,388500,245500
"11680",454500,193500,"11680_11726",4.7620076405924e-07,1.4196324671205,33.6536402730224,459500,183500
"11286.1",458500,236500,"11286_11436",4.4074449560075e-07,1.31393152401922,34.9675717970416,452500,219500
"11618.1",516500,203500,"11618_11667",3.75564443522964e-07,1.11961911395614,36.0871909109978,506500,195500
"11602.2",515500,205500,"11602_11673",3.52058317530046e-07,1.04954350267127,37.136734413669,506500,194500
"11146",383500,258500,"11146_11228",3.48419107391413e-07,1.03869442123881,38.1754288349078,388500,245500
"11270",460500,238500,"11270_11390",3.3170906137003e-07,0.98887903737252,39.1643078722804,444500,226500
"11228.1",388500,245500,"11228_11269",3.14265150930486e-07,0.936875883487539,40.1011837557679,393500,238500
"11389",383500,226500,"11389_11476",2.93922806271382e-07,0.876232022504932,40.9774157782728,374500,214500
"11634",477500,201500,"11634_11715",2.82704777529297e-07,0.842789241599663,41.8202050198725,476500,184500
"11270.1",460500,238500,"11270_11436",2.69898192448565e-07,0.804610714084141,42.6248157339566,452500,219500
"11618.2",516500,203500,"11618_11673",2.67360247801325e-07,0.797044685440541,43.4218604193972,506500,194500
"11382",490500,227500,"11382_11554",2.48129350681057e-07,0.73971423159778,44.161574650995,486500,209500
"11135",472500,259500,"11135_11175",2.41968634880939e-07,0.721348128830541,44.8829227798255,464500,255500
"11388",382500,226500,"11388_11476",2.27863321911319e-07,0.679297880779957,45.5622206606055,374500,214500
"11228.2",388500,245500,"11228_11389",2.24842357640953e-07,0.670291891533604,46.2325125521391,383500,226500
"11389.1",383500,226500,"11389_11470",2.22176028462341e-07,0.662343127575892,46.894855679715,383500,215500
"11111",474500,262500,"11111_11175",1.94551820140483e-07,0.579990838432293,47.4748465181472,464500,255500
"11196",483500,250500,"11196_11245",1.67552667846942e-07,0.499501943677238,47.9743484618245,486500,242500
"11389.2",383500,226500,"11389_11509",1.66502540893302e-07,0.496371343244599,48.4707198050691,375500,212500
"11481",493500,214500,"11481_11554",1.61326728542137e-07,0.480941398960591,48.9516612040297,486500,209500
"11132",383500,259500,"11132_11228",1.58216783215617e-07,0.471670142613029,49.4233313466427,388500,245500
"11180.1",400500,252500,"11180_11283",1.52416377257558e-07,0.45437818249447,49.8777095291372,393500,236500
"11156.1",383500,257500,"11156_11227",1.51088517048615e-07,0.450419613742198,50.3281291428794,387500,245500
"11633",465500,201500,"11633_11634",1.5004149594273e-07,0.447298272350377,50.7754274152297,477500,201500
"11374",489500,228500,"11374_11554",1.46508441042766e-07,0.436765657069895,51.2121930722996,486500,209500
"11619",517500,203500,"11619_11674",1.43986684099249e-07,0.429247886622222,51.6414409589219,507500,194500
"11389.3",383500,226500,"11389_11492",1.43869232897044e-07,0.428897745352957,52.0703387042748,375500,213500
"11379",485500,227500,"11379_11554",1.43713275573059e-07,0.428432811028352,52.4987715153032,486500,209500
"11380",488500,227500,"11380_11554",1.40242746058297e-07,0.41808659416121,52.9168581094644,486500,209500
"11269",393500,238500,"11269_11389",1.32767344667402e-07,0.395801198336116,53.3126593078005,383500,226500
"11285.2",457500,236500,"11285_11395",1.31922321887594e-07,0.393282047036472,53.705941354837,449500,225500
"11382.1",490500,227500,"11382_11481",1.23205349183144e-07,0.367295323788163,54.0732366786251,493500,214500
"11388.1",382500,226500,"11388_11509",1.21295604873656e-07,0.361602063234489,54.4348387418596,375500,212500
"11634.1",477500,201500,"11634_11716",1.21110438383701e-07,0.361050051602415,54.795888793462,477500,184500
"11388.2",382500,226500,"11388_11470",1.19371775496585e-07,0.355866812787578,55.1517556062496,383500,215500
"11602.3",515500,205500,"11602_11675",1.12367482892978e-07,0.334985869412915,55.4867414756625,508500,194500
"11227",387500,245500,"11227_11283",1.08308108132724e-07,0.322884208431227,55.8096256840938,393500,236500
"11285.3",457500,236500,"11285_11427",1.07226573407668e-07,0.31965997628821,56.129285660382,448500,221500
"11388.3",382500,226500,"11388_11492",1.06515054669768e-07,0.317538822402027,56.446824482784,375500,213500
"11228.3",388500,245500,"11228_11388",1.053871375794e-07,0.314176316831778,56.7610007996158,382500,226500
"11117",474500,261500,"11117_11175",1.04965917190274e-07,0.312920589866708,57.0739213894825,464500,255500
"11286.2",458500,236500,"11286_11395",9.8734822168324e-08,0.294344675112878,57.3682660645954,449500,225500
