"","xma","yma","label","powr","perc","cumsum_perc","xmb","ymb"
"9738",468500,317500,"9738_9865",7.84628793404381e-06,2.8690008159837,2.8690008159837,476500,314500
"9708",480500,318500,"9708_9738",7.73647640204651e-06,2.82884815047448,5.69784896645818,468500,317500
"9739",485500,317500,"9739_10034",7.37694704277202e-06,2.69738598214732,8.3952349486055,488500,308500
"9708.1",480500,318500,"9708_9739",7.12518675631815e-06,2.60532965266514,11.0005646012706,485500,317500
"9866",487500,314500,"9866_10034",5.61198890574251e-06,2.05202777226768,13.0525923735383,488500,308500
"9739.1",485500,317500,"9739_9923",4.23775270417794e-06,1.54953731859259,14.6021296921309,494500,312500
"9708.2",480500,318500,"9708_9865",3.49392013207845e-06,1.27755440460222,15.8796840967331,476500,314500
"9836",488500,315500,"9836_9923",3.44348953143599e-06,1.25911441927286,17.138798516006,494500,312500
"9866.1",487500,314500,"9866_9923",3.15969165592861e-06,1.15534352235326,18.2941420383592,494500,312500
"10009",495500,309500,"10009_10034",3.14811422943835e-06,1.15111022804559,19.4452522664048,488500,308500
"9923",494500,312500,"9923_10034",3.10241320676331e-06,1.1343996162954,20.5796518827002,488500,308500
"9503",484500,325500,"9503_9739",3.07437790552718e-06,1.12414848827169,21.7038003709719,485500,317500
"9707",478500,318500,"9707_9738",2.83866860506394e-06,1.03796121334008,22.741761584312,468500,317500
"11283",393500,236500,"11283_11389",2.7643332133112e-06,1.01078042397983,23.7525420082918,383500,226500
"9836.1",488500,315500,"9836_10034",2.60041661907869e-06,0.950844203621941,24.7033862119138,488500,308500
"9739.2",485500,317500,"9739_9866",2.43791446892867e-06,0.891425175758247,25.594811387672,487500,314500
"9500",474500,325500,"9500_9738",2.34915627795879e-06,0.858970679510034,26.4537820671821,468500,317500
"11195",638500,251500,"11195_11199",2.12595892842982e-06,0.777358408419953,27.231140475602,629500,250500
"10010",498500,309500,"10010_10034",1.95497712216546e-06,0.714838788210453,27.9459792638125,488500,308500
"9555",473500,323500,"9555_9738",1.93574050573103e-06,0.707804905601113,28.6537841694136,468500,317500
"10010.1",498500,309500,"10010_10190",1.9063678022695e-06,0.697064755493551,29.3508489249071,504500,303500
"9708.3",480500,318500,"9708_10034",1.76070970001473e-06,0.643804765835206,29.9946536907423,488500,308500
"9923.1",494500,312500,"9923_10010",1.62110596809885e-06,0.592758561037748,30.5874122517801,498500,309500
"9739.3",485500,317500,"9739_9836",1.55507011854895e-06,0.568612505242263,31.1560247570224,488500,315500
"11235",634500,244500,"11235_11260",1.54468737884368e-06,0.564816049015198,31.7208408060375,629500,240500
"11195.1",638500,251500,"11195_11235",1.50204655609927e-06,0.549224401566582,32.2700652076041,634500,244500
"10010.2",498500,309500,"10010_10131",1.49736134956898e-06,0.547511252435241,32.8175764600394,500500,305500
"9532",472500,324500,"9532_9738",1.16492286040652e-06,0.425954880213259,33.2435313402526,468500,317500
"11195.2",638500,251500,"11195_11260",1.16015194241686e-06,0.424210390625268,33.6677417308779,629500,240500
"10009.1",495500,309500,"10009_10010",1.15992325771938e-06,0.424126771901458,34.0918685027794,498500,309500
"9500.1",474500,325500,"9500_9708",1.14550127239563e-06,0.418853362614193,34.5107218653935,480500,318500
"9501",477500,325500,"9501_9708",1.09896453647239e-06,0.401837171714838,34.9125590371084,480500,318500
"9533",476500,324500,"9533_9708",1.0985210524654e-06,0.401675011469304,35.3142340485777,480500,318500
"10034",488500,308500,"10034_10228",1.09718815112797e-06,0.401187635138373,35.7154216837161,494500,302500
"11228",388500,245500,"11228_11283",1.07484690298451e-06,0.393018541715792,36.1084402254319,393500,236500
"9739.4",485500,317500,"9739_9924",1.05923615977402e-06,0.387310462253822,36.4957506876857,495500,312500
"9739.5",485500,317500,"9739_9865",1.05814677206457e-06,0.386912126855783,36.8826628145415,476500,314500
"9865",476500,314500,"9865_10033",1.04855920845261e-06,0.383406427338096,37.2660692418796,470500,308500
"10774",473500,282500,"10774_10920",1.01466082652681e-06,0.371011459651062,37.6370807015306,481500,276500
"10774.1",473500,282500,"10774_10919",1.00800005999044e-06,0.368575945585231,38.0056566471158,480500,276500
"11283.1",393500,236500,"11283_11388",9.96740191924482e-07,0.364458766743382,38.3701154138592,382500,226500
"9793",487500,316500,"9793_10034",9.80884157282555e-07,0.358660996293412,38.7287764101526,488500,308500
"9793.1",487500,316500,"9793_9923",9.75367074366141e-07,0.356643670964276,39.0854200811169,494500,312500
"10324",484500,299500,"10324_10403",9.4094672167141e-07,0.344057844290855,39.4294779254078,477500,297500
"11156",383500,257500,"11156_11228",9.01881495085069e-07,0.329773616144382,39.7592515415522,388500,245500
"10624",474500,289500,"10624_10920",8.66206917596717e-07,0.316729181274758,40.0759807228269,481500,276500
"9533.1",476500,324500,"9533_9738",8.57297805264235e-07,0.313471557954477,40.3894522807814,468500,317500
"9836.2",488500,315500,"9836_9924",8.55101798675534e-07,0.312668586568791,40.7021208673502,495500,312500
"9924",495500,312500,"9924_10034",8.53213147174936e-07,0.311977999791722,41.0140988671419,488500,308500
"9503.1",484500,325500,"9503_9708",8.29871310167898e-07,0.303443040332844,41.3175419074747,480500,318500
"9708.4",480500,318500,"9708_9866",8.16831468947636e-07,0.298675013029269,41.616216920504,487500,314500
"11235.1",634500,244500,"11235_11254",8.06953866365884e-07,0.295063260554057,41.9112801810581,628500,241500
"9500.2",474500,325500,"9500_9612",8.01583781859489e-07,0.293099685299075,42.2043798663572,464500,321500
"9924.1",495500,312500,"9924_10010",7.84550271848577e-07,0.286871370135119,42.4912512364923,498500,309500
"10010.3",498500,309500,"10010_10189",7.72290033972895e-07,0.282388405354172,42.7736396418464,503500,303500
"9502",480500,325500,"9502_9708",7.71188812058945e-07,0.281985742770762,43.0556253846172,480500,318500
