"","xma","yma","label","powr","perc","cumsum_perc","xmb","ymb"
"848",488625,131375,"848_875",0.000502482840125679,0.33521539496743,0.33521539496743,491625,130125
"848.1",488625,131375,"848_867",0.000454410159868533,0.303145240103014,0.638360635070443,491625,130375
"848.2",488625,131375,"848_859",0.000417817684502035,0.278733737653002,0.917094372723445,491625,130625
"848.3",488625,131375,"848_884",0.000358290216134004,0.239021886367872,1.15611625909132,491625,129625
"848.4",488625,131375,"848_880",0.000341676494368615,0.227938571956437,1.38405483104776,491625,129875
"794",489125,134625,"794_859",0.000320137423100391,0.213569467768514,1.59762429881627,491625,130625
"794.1",489125,134625,"794_875",0.000316102771088642,0.21087787840531,1.80850217722158,491625,130125
"794.2",489125,134625,"794_867",0.00031367830394204,0.209260472501598,2.01776264972318,491625,130375
"775",489375,135125,"775_859",0.000310049988797293,0.20683995781495,2.22460260753813,491625,130625
"764",489375,135375,"764_859",0.000305522603320534,0.203819657041331,2.42842226457946,491625,130625
"775.1",489375,135125,"775_875",0.000301916031589684,0.201413647779537,2.629835912359,491625,130125
"775.2",489375,135125,"775_867",0.000301576145024584,0.201186903301784,2.83102281566078,491625,130375
"764.1",489375,135375,"764_867",0.000296655680259334,0.197904372222127,3.02892718788291,491625,130375
"764.2",489375,135375,"764_875",0.000296537913050669,0.197825807586255,3.22675299546916,491625,130125
"785",489125,134875,"785_859",0.000271962792646165,0.181431300082859,3.40818429555202,491625,130625
"785.1",489125,134875,"785_875",0.000267292583843672,0.178315719284286,3.58650001483631,491625,130125
"785.2",489125,134875,"785_867",0.000265816997705548,0.177331329071128,3.76383134390744,491625,130375
"848.5",488625,131375,"848_866",0.000257932655234802,0.172071541543401,3.93590288545084,491375,130375
"848.6",488625,131375,"848_876",0.000234923801820549,0.156721919090468,4.0926248045413,491875,130125
"765",489625,135375,"765_859",0.000222803228485576,0.148636065299524,4.24126086984083,491625,130625
"765.1",489625,135375,"765_867",0.000215828099228583,0.143982830358711,4.38524370019954,491625,130375
"765.2",489625,135375,"765_875",0.000215269988153291,0.143610504361483,4.52885420456102,491625,130125
"776",489625,135125,"776_859",0.000215181031645705,0.143551159865623,4.67240536442665,491625,130625
"776.1",489625,135125,"776_867",0.000208772757913861,0.139276084502767,4.81168144892941,491625,130375
"776.2",489625,135125,"776_875",0.000208518502481391,0.139106466103068,4.95078791503248,491625,130125
"848.7",488625,131375,"848_868",0.000202435926402999,0.135048669538259,5.08583658457074,491875,130375
"794.3",489125,134625,"794_880",0.000197737515183712,0.131914274397126,5.21775085896787,491625,129875
"838",488125,131625,"838_875",0.000194683173753051,0.129876667961077,5.34762752692894,491625,130125
"794.4",489125,134625,"794_884",0.000192287873265014,0.128278719663057,5.475906246592,491625,129625
"775.3",489375,135125,"775_880",0.000187741124400713,0.125245501223233,5.60115174781523,491625,129875
"848.8",488625,131375,"848_885",0.000185143453722706,0.123512548109639,5.72466429592487,491875,129625
"764.3",489375,135375,"764_880",0.000184145992721598,0.122847123826956,5.84751141975183,491625,129875
"752",489375,135625,"752_859",0.000183819944929132,0.122629611444837,5.97014103119667,491625,130625
"775.4",489375,135125,"775_884",0.000181575864205816,0.121132544588152,6.09127357578482,491625,129625
"752.1",489375,135625,"752_867",0.000178209406553925,0.118886719773244,6.21016029555806,491625,130375
"752.2",489375,135625,"752_875",0.000177897086610829,0.118678365487841,6.3288386610459,491625,130125
"764.4",489375,135375,"764_884",0.000177878975058433,0.118666282943514,6.44750494398942,491625,129625
"838.1",488125,131625,"838_867",0.000177598684599771,0.118479296106744,6.56598424009616,491625,130375
"774",489125,135125,"774_859",0.000174550328591493,0.116445682654272,6.68242992275043,491625,130625
"794.5",489125,134625,"794_866",0.000170899424208816,0.114010098278253,6.79644002102869,491375,130375
"774.1",489125,135125,"774_875",0.000170856690474802,0.113981589831035,6.91042161085972,491625,130125
"774.2",489125,135125,"774_867",0.000170236627447135,0.11356793456537,7.02398954542509,491625,130375
"839",488375,131625,"839_875",0.000168472483756656,0.112391042387649,7.13638058781274,491625,130125
"785.3",489125,134875,"785_880",0.000166882661914528,0.111330443469279,7.24771103128202,491625,129875
"838.2",488125,131625,"838_859",0.000165201392245406,0.110208838050792,7.35791986933281,491625,130625
"775.5",489375,135125,"775_866",0.000162580399649947,0.10846032646406,7.46638019579687,491375,130375
"785.4",489125,134875,"785_884",0.00016200161177577,0.108074206600154,7.57445440239703,491625,129625
"728",489375,136375,"728_859",0.000161158488412005,0.10751174374805,7.68196614614507,491625,130625
"764.5",489375,135375,"764_866",0.000159619862682726,0.106485298682944,7.78845144482802,491375,130375
"736",489625,136125,"736_859",0.000159314930220102,0.10628187271944,7.89473331754746,491625,130625
"806",486625,133875,"806_875",0.000158859888507637,0.105978306159172,8.00071162370663,491625,130125
"728.1",489375,136375,"728_867",0.000155655233106248,0.10384042255335,8.10455204625998,491625,130375
"728.2",489375,136375,"728_875",0.000154869517258439,0.103316257293917,8.2078683035539,491625,130125
"839.1",488375,131625,"839_867",0.000153932716658759,0.102691300662664,8.31055960421656,491625,130375
"794.6",489125,134625,"794_876",0.000153752874491013,0.102571324698355,8.41313092891492,491875,130125
"736.1",489625,136125,"736_867",0.000153752327810969,0.102570959998206,8.51570188891312,491625,130375
"736.2",489625,136125,"736_875",0.00015285388607394,0.101971593258322,8.61767348217144,491625,130125
"806.1",486625,133875,"806_867",0.000151389254107883,0.100994510771563,8.71866799294301,491625,130375
"775.6",489375,135125,"775_876",0.00014832772963452,0.0989521123977521,8.81762010534076,491875,130125
"806.2",486625,133875,"806_859",0.000148085705818184,0.0987906539305047,8.91641075927126,491625,130625
"844",486125,131375,"844_875",0.000147729823562343,0.0985532384380202,9.01496399770928,491625,130125
"786",489375,134875,"786_859",0.00014715607294916,0.0981704790220708,9.11313447673136,491625,130625
"810",486375,133625,"810_875",0.000146638353520247,0.0978250990230207,9.21095957575437,491625,130125
"811",486625,133625,"811_875",0.00014611910464053,0.0974786986996635,9.30843827445404,491625,130125
"764.6",489375,135375,"764_876",0.000145968724059039,0.0973783770926468,9.40581665154668,491875,130125
"794.7",489125,134625,"794_868",0.000145222054322702,0.0968802602007071,9.50269691174739,491875,130375
"785.5",489125,134875,"785_866",0.000144481904412078,0.0963864928024755,9.59908340454987,491375,130375
"786.1",489375,134875,"786_875",0.00014382905320956,0.0959509639520725,9.69503436850194,491625,130125
"786.2",489375,134875,"786_867",0.000143418594884987,0.0956771397765946,9.79071150827854,491625,130375
"839.2",488375,131625,"839_859",0.000143304950384448,0.0956013254739116,9.88631283375245,491625,130625
"775.7",489375,135125,"775_868",0.000141085933927146,0.0941209794426168,9.98043381319506,491875,130375
"764.7",489375,135375,"764_868",0.000139075621493337,0.092779863641849,10.0732136768369,491875,130375
"810.1",486375,133625,"810_867",0.00013877901290999,0.0925819906888296,10.1657956675257,491625,130375
"811.1",486625,133625,"811_867",0.000138642363015803,0.0924908290717668,10.2582864965975,491625,130375
"744",489625,135875,"744_859",0.000138281267801021,0.0922499359200448,10.3505364325176,491625,130625
"838.3",488125,131625,"838_884",0.000137203810049915,0.0915311443579145,10.4420675768755,491625,129625
"848.9",488625,131375,"848_858",0.000135782765515818,0.090583139835721,10.5326507167112,491375,130625
"811.2",486625,133625,"811_859",0.000134981314381476,0.0900484772819146,10.6226991939931,491625,130625
"810.2",486375,133625,"810_859",0.000134776771008497,0.0899120226966316,10.7126112166897,491625,130625
"744.1",489625,135875,"744_867",0.000133601017632083,0.0891276563442203,10.801738873034,491625,130375
"765.3",489625,135375,"765_880",0.000133407993001403,0.0889988861203542,10.8907377591543,491625,129875
"744.2",489625,135875,"744_875",0.000132949735972406,0.0886931745642468,10.9794309337186,491625,130125
"844.1",486125,131375,"844_867",0.00013245136934239,0.0883607051675258,11.0677916388861,491625,130375
"838.4",488125,131625,"838_880",0.000131505988252003,0.0877300243356601,11.1555216632217,491625,129875
"848.10",488625,131375,"848_874",0.000130469706994699,0.0870387023576247,11.2425603655794,491375,130125
"785.6",489125,134875,"785_876",0.000130312380182171,0.0869337467941921,11.3294941123736,491875,130125
"776.3",489625,135125,"776_880",0.000129382161752612,0.0863131812477299,11.4158072936213,491625,129875
"765.4",489625,135375,"765_884",0.000128624818386264,0.0858079437840728,11.5016152374054,491625,129625
"848.11",488625,131375,"848_860",0.000128154506638534,0.0854941903069711,11.5871094277123,491875,130625
"776.4",489625,135125,"776_884",0.000124882154443709,0.0833111449452901,11.6704205726576,491625,129625
"763",489125,135375,"763_859",0.000123530212039811,0.0824092397045408,11.7528298123622,491625,130625
"785.7",489125,134875,"785_868",0.000123370343408796,0.0823025884480019,11.8351324008102,491875,130375
"807",486875,133875,"807_875",0.000122365584713389,0.0816322957414023,11.9167646965516,491625,130125
"801",489125,134375,"801_859",0.000121677745799466,0.0811734259556258,11.9979381225072,491625,130625
"844.2",486125,131375,"844_859",0.000121527623021401,0.0810732763339391,12.0790113988411,491625,130625
"801.1",489125,134375,"801_875",0.000120787985522413,0.0805798507747821,12.1595912496159,491625,130125
"763.1",489125,135375,"763_875",0.000120481615619961,0.0803754658691583,12.2399667154851,491625,130125
"763.2",489125,135375,"763_867",0.000120246808482548,0.0802188217790049,12.3201855372641,491625,130375
"801.2",489125,134375,"801_867",0.000119563667002571,0.0797630857364132,12.3999486230005,491625,130375
"839.3",488375,131625,"839_884",0.00011820480157703,0.0788565620226553,12.4788051850231,491625,129625
