"","xm","ym","cover","x","y","progress","flow","std_flow","conductance"
"1",545625,106875,0.0199999995529652,545.625,106.875,0.723523219926699,0.00401914878155444,0.00348917475468055,69.9927363790852
"2",545875,106875,0.189999997615814,545.875,106.875,0.718087794484701,0.0401212926958472,0.0348308085139752,69.9927363790852
"3",544375,106625,0.109999999403954,544.375,106.625,0.747351747482044,0.018292960127592,0.0158808091301577,69.9927363790852
"4",544625,106625,0.0199999995529652,544.625,106.625,0.743751841998648,0.00355505464233915,0.00308627711581313,69.9927363790852
"5",545375,106625,0.230000004172325,545.375,106.625,0.730680768057104,0.0484484299851441,0.0420599106915106,69.9927363790852
"6",545625,106625,0.340000003576279,545.625,106.625,0.72555204483422,0.0753426579847724,0.0654078051047731,69.9927363790852
"7",545875,106625,0.28999999165535,545.875,106.625,0.719990681783588,0.0674141707871466,0.0585247861183337,69.9927363790852
"8",546375,106625,0.150000005960464,546.375,106.625,0.707414253662704,0.0382176874217291,0.0331782169264697,69.9927363790852
"9",548625,106625,0.319999992847443,548.625,106.625,0.629913153070935,0.107421586128851,0.0932567334030288,69.9927363790852
"10",548875,106625,0.0599999986588955,548.875,106.625,0.619629848695298,0.0207313447411958,0.017997662846804,69.9927363790852
"11",544125,106375,0.0900000035762787,544.125,106.375,0.75322974338765,0.0153351991789543,0.0133130652139011,69.9927363790852
"12",544375,106375,0.259999990463257,544.375,106.375,0.749996996959361,0.0476562256010521,0.0413721681649818,69.9927363790852
"13",544875,106375,0.150000005960464,544.875,106.375,0.742291108162288,0.0312412047961876,0.0271216690412003,69.9927363790852
"14",545125,106375,0.740000009536743,545.125,106.375,0.737828869450017,0.162777208290815,0.141313038325998,69.9927363790852
"15",545375,106375,0.990000009536743,545.375,106.375,0.732977773613795,0.229235629208871,0.199008101909469,69.9927363790852
"16",545625,106375,0.550000011920929,545.625,106.375,0.727709349939409,0.133836112571003,0.11618818078855,69.9927363790852
"17",545875,106375,0.889999985694885,545.875,106.375,0.721993436850631,0.226765744646902,0.196863901898723,69.9927363790852
"18",546125,106375,0.569999992847443,546.125,106.375,0.715806423197493,0.151941784616721,0.131906398065894,69.9927363790852
"19",546375,106375,0.629999995231628,546.375,106.375,0.709124304727061,0.175375482564477,0.152250075728032,69.9927363790852
"20",546625,106375,0.109999999403954,546.625,106.375,0.701918547123571,0.0319769433653094,0.0277603914625265,69.9927363790852
"21",546875,106375,0.0199999995529652,546.875,106.375,0.694169879828563,0.00606750909815364,0.00526743365814996,69.9927363790852
"22",547125,106375,0.0299999993294477,547.125,106.375,0.685913163965025,0.00946745967922599,0.00821905908418134,69.9927363790852
"23",547625,106375,0.129999995231628,547.625,106.375,0.668199693196241,0.0436494662180633,0.0378937491148175,69.9927363790852
"24",547875,106375,0.200000002980232,547.875,106.375,0.658957863639806,0.0687830347593782,0.0597131485985739,69.9927363790852
"25",548125,106375,0.389999985694885,548.125,106.375,0.649521302317764,0.137048919299428,0.118977339572603,69.9927363790852
"26",548375,106375,0.490000009536743,548.375,106.375,0.639874061558992,0.175855030181485,0.152666389114243,69.9927363790852
"27",548625,106375,0.970000028610229,548.625,106.375,0.629956229774019,0.355106571385106,0.308281417643583,69.9927363790852
"28",548875,106375,0.0599999986588955,548.875,106.375,0.619555842261317,0.0225658449873088,0.0195902617512211,69.9927363790852
"29",544125,106125,0.280000001192093,544.125,106.125,0.756083818079298,0.0523769337953318,0.045470393125274,69.9927363790852
"30",544375,106125,0.550000011920929,544.375,106.125,0.752858184195221,0.110611631203456,0.0960261319362925,69.9927363790852
"31",544625,106125,0.0700000002980232,544.625,106.125,0.749190683901667,0.0150604132062646,0.0130745131395789,69.9927363790852
"32",544875,106125,0.850000023841858,544.875,106.125,0.745063115872658,0.19419461611208,0.168587675863816,69.9927363790852
"33",545125,106125,0.639999985694885,545.125,106.125,0.740499550904453,0.154445066148883,0.134079591246988,69.9927363790852
"34",545375,106125,0.860000014305115,545.375,106.125,0.735515869839187,0.218048438450646,0.189296079366651,69.9927363790852
"35",545625,106125,0.810000002384186,545.625,106.125,0.730094828120608,0.215383951628655,0.186982937788978,69.9927363790852
"36",545875,106125,0.639999985694885,545.875,106.125,0.724204478681839,0.178025920842047,0.154551021234051,69.9927363790852
"37",546125,106125,0.800000011920929,546.125,106.125,0.717837882891481,0.232347957240249,0.201710031344182,69.9927363790852
"38",546375,106125,0.910000026226044,546.375,106.125,0.710988293537084,0.275584349772569,0.239245175601489,69.9927363790852
"39",546625,106125,0.899999976158142,546.625,106.125,0.703631564102376,0.284074799768868,0.246616055703994,69.9927363790852
"40",546875,106125,0.689999997615814,546.875,106.125,0.695742215384173,0.227103940160355,0.197157502188691,69.9927363790852
"41",547125,106125,0.639999985694885,547.125,106.125,0.687330702435876,0.219128751276068,0.190233939705368,69.9927363790852
"42",547375,106125,0.189999997615814,547.375,106.125,0.67844680731143,0.0673698903360937,0.0584863445874681,69.9927363790852
"43",547625,106125,0.879999995231628,547.625,106.125,0.669211489410797,0.320968772637958,0.278645106065476,69.9927363790852
"44",547875,106125,0.990000009536743,547.875,106.125,0.659733181086755,0.370004770241875,0.3212151063838,69.9927363790852
"45",548125,106125,1,548.125,106.125,0.650035164261179,0.381979954132247,0.331611215506384,69.9927363790852
"46",548375,106125,0.779999971389771,548.375,106.125,0.64010393916124,0.304295788811909,0.264170659506534,69.9927363790852
"47",548625,106125,1,548.625,106.125,0.629903209323224,0.397784610212093,0.345331833974975,69.9927363790852
"48",548875,106125,0.75,548.875,106.125,0.619285131981483,0.305929833098514,0.265589235026559,69.9927363790852
"49",549125,106125,0.0500000007450581,549.125,106.125,0.607977535849506,0.0209883094397666,0.0182207436004233,69.9927363790852
"50",543625,105875,0.0399999991059303,543.625,105.875,0.764496601414539,0.00699948958162768,0.00607652109221477,69.9927363790852
"51",543875,105875,0.319999992847443,543.875,105.875,0.761991692559594,0.0607236562427351,0.0527164979177772,69.9927363790852
"52",544125,105875,0.46000000834465,544.125,105.875,0.759180459579458,0.0942416561329874,0.0818147387147309,69.9927363790852
"53",544375,105875,0.990000009536743,544.375,105.875,0.755978964075823,0.217687272802949,0.18898253783617,69.9927363790852
"54",544625,105875,0.689999997615814,544.625,105.875,0.752315981170505,0.162119439003862,0.140742003981369,69.9927363790852
"55",544875,105875,0.509999990463257,544.875,105.875,0.748159352326055,0.127291316658652,0.110506396432441,69.9927363790852
"56",545125,105875,0.0299999993294477,545.125,105.875,0.743522638651974,0.00790390062656007,0.00686167445610987,69.9927363790852
"57",545375,105875,0.349999994039536,545.375,105.875,0.738423536641132,0.0967911054252882,0.0840280118709423,69.9927363790852
"58",546125,105875,0.0900000035762787,546.125,105.875,0.72022169899453,0.028378076872746,0.0246360796259138,69.9927363790852
"59",546375,105875,0.300000011920929,546.375,105.875,0.713175840411907,0.0984801832193626,0.085494364055968,69.9927363790852
"60",546625,105875,0.349999994039536,546.625,105.875,0.705638543026984,0.119514809787693,0.103755317303876,69.9927363790852
"61",546875,105875,0.5,546.875,105.875,0.697592541761821,0.177739413905476,0.154302293748591,69.9927363790852
"62",547125,105875,0.319999992847443,547.125,105.875,0.689027546890977,0.118295945244404,0.102697174989429,69.9927363790852
"63",547375,105875,0.280000001192093,547.375,105.875,0.679972224770112,0.107213620123319,0.0930761902642267,69.9927363790852
"64",547625,105875,0.28999999165535,547.625,105.875,0.670522481583432,0.114345020037699,0.0992672276950835,69.9927363790852
"65",547875,105875,0.349999994039536,547.875,105.875,0.660770303286381,0.141485445904963,0.122828855769651,69.9927363790852
"66",548125,105875,0.389999985694885,548.125,105.875,0.650745396886451,0.161183393772495,0.139929387786239,69.9927363790852
"67",548375,105875,0.310000002384186,548.375,105.875,0.640441372465568,0.130868150963675,0.113611581295474,69.9927363790852
"68",548625,105875,0.670000016689301,548.625,105.875,0.629844641633583,0.288402814271877,0.250373368449194,69.9927363790852
"69",548875,105875,1,548.875,105.875,0.618884785288614,0.440768188437897,0.382647500590657,69.9927363790852
"70",549125,105875,0.740000009536743,549.125,105.875,0.607362528998075,0.334906524437643,0.290744994464645,69.9927363790852
"71",543625,105625,0.370000004768372,543.625,105.625,0.767759230813023,0.0708565096828752,0.0615132104402087,69.9927363790852
"72",543875,105625,1,543.875,105.625,0.765312613271727,0.207230753957795,0.179904839159327,69.9927363790852
"73",544125,105625,0.930000007152557,544.125,105.625,0.762570296008476,0.207827813154919,0.180423168783554,69.9927363790852
"74",544375,105625,0.649999976158142,544.375,105.625,0.75942516300339,0.155842564708312,0.135292812493149,69.9927363790852
"75",544625,105625,0.310000002384186,544.625,105.625,0.755799517184728,0.0792617906402274,0.0688101520854114,69.9927363790852
"76",544875,105625,0.00999999977648258,544.875,105.625,0.751653199395121,0.00271456025219609,0.00235661221238957,69.9927363790852
"77",545375,105625,0.100000001490116,545.375,105.625,0.74180218842388,0.0300669410222571,0.0261022463380304,69.9927363790852
"78",546875,105625,0.00999999977648258,546.875,105.625,0.699877290117759,0.00382593822705776,0.00332144137984716,69.9927363790852
"79",548375,105625,0.0399999991059303,548.375,105.625,0.641022102349989,0.0182004725420926,0.015800517166365,69.9927363790852
"80",548875,105625,0.5,548.875,105.625,0.618517141444043,0.237295065987825,0.206004803169977,69.9927363790852
"81",549125,105625,0.990000009536743,549.125,105.625,0.606647497179519,0.481410635261172,0.41793074267292,69.9927363790852
"82",549375,105625,0.230000004172325,549.375,105.625,0.594082606928799,0.115058961097645,0.0998870268759757,69.9927363790852
"83",543625,105375,0.660000026226044,543.625,105.375,0.771364759649557,0.138426192825432,0.120173002703881,69.9927363790852
"84",543875,105375,1,543.875,105.375,0.768979010943494,0.226359812985507,0.196511497302117,69.9927363790852
"85",544125,105375,1,544.125,105.375,0.766323543704352,0.243270371618002,0.21119219151748,69.9927363790852
"86",544375,105375,0.400000005960464,544.375,105.375,0.76327099070028,0.104216469709252,0.0904742508663284,69.9927363790852
"87",545125,105375,0.0199999995529652,545.125,105.375,0.75095390643485,0.00621418464204494,0.00539476823387489,69.9927363790852
"88",545375,105375,0.25,545.375,105.375,0.745721063110354,0.0814964524500185,0.0707501463468222,69.9927363790852
"89",546875,105375,0.540000021457672,546.875,105.375,0.702705257755583,0.221903815254449,0.192643077486091,69.9927363790852
"90",548125,105375,0.0500000007450581,548.125,105.375,0.653204539657271,0.0239311221972301,0.0207755104277221,69.9927363790852
"91",548375,105375,0.00999999977648258,548.375,105.375,0.641972719175806,0.00488928739143491,0.00424457492413971,69.9927363790852
"92",548875,105375,0.0199999995529652,548.875,105.375,0.618373441715257,0.0101864437807127,0.00884323631977848,69.9927363790852
