"","xma","yma","label","powr","perc","cumsum_perc","xmb","ymb"
"542",552125,98625,"542_581",0.00260275799965378,0.0135829147264898,0.0135829147264898,549625,97875
"543",552375,98625,"543_581",0.00253017769935191,0.0132041426585702,0.02678705738506,549625,97875
"532",552375,98875,"532_581",0.00252520437393989,0.0131781885533527,0.0399652459384126,549625,97875
"531",552125,98875,"531_581",0.00244095774207326,0.0127385338421615,0.0527037797805741,549625,97875
"555",552375,98375,"555_581",0.00243703581078254,0.0127180666076771,0.0654218463882512,549625,97875
"544",552625,98625,"544_581",0.00242321798962681,0.0126459560670548,0.078067802455306,549625,97875
"533",552625,98875,"533_581",0.0024217063288002,0.0126380672198757,0.0907058696751817,549625,97875
"556",552625,98375,"556_581",0.00240701016522003,0.0125613729068652,0.103267242582047,549625,97875
"572",552125,98125,"572_581",0.00240064029762026,0.0125281307197552,0.115795373301802,549625,97875
"581",549625,97875,"581_588",0.00240043127507899,0.0125270399017251,0.128322413203527,552375,97875
"241",553875,103375,"241_318",0.00237344015721833,0.0123861823758534,0.140708595579381,550625,102625
"240",553625,103375,"240_289",0.00236645641211315,0.0123497365694251,0.153058332148806,550375,102875
"240.1",553625,103375,"240_318",0.00236247500849604,0.0123289589689604,0.165387291117766,550625,102625
"241.1",553875,103375,"241_289",0.00235883520853681,0.0123099640825844,0.177697255200351,550375,102875
"267",553875,103125,"267_318",0.00232401072380612,0.0121282268613161,0.189825482061667,550625,102625
"266",553625,103125,"266_318",0.00232071894925258,0.0121110482019611,0.201936530263628,550625,102625
"234",550375,103375,"234_240",0.00231357887457719,0.0120737865643177,0.214010316827946,553625,103375
"294",553625,102875,"294_318",0.00231219391117672,0.0120665589082043,0.22607687573615,550625,102625
"234.1",550375,103375,"234_241",0.00230817561625346,0.0120455887844757,0.238122464520626,553875,103375
"581.1",549625,97875,"581_609",0.00230612743729937,0.0120349000304379,0.250157364551063,552375,97625
"534",552875,98875,"534_581",0.00230057439393293,0.0120059205730589,0.262163285124122,549625,97875
"266.1",553625,103125,"266_289",0.00229956151068173,0.012000634677547,0.274163919801669,550375,102875
"545",552875,98625,"545_581",0.00229740487961495,0.0119893799485709,0.28615329975024,549625,97875
"267.1",553875,103125,"267_289",0.00228697583895038,0.011934954308521,0.298088254058761,550375,102875
"542.1",552125,98625,"542_580",0.00228511651128158,0.0119252511055428,0.310013505164304,549375,97875
"573",552375,98125,"573_581",0.0022717451729859,0.0118554706081345,0.321868975772439,549625,97875
"289",550375,102875,"289_294",0.00226827973585507,0.011837385662456,0.333706361434895,553625,102875
"242",554125,103375,"242_318",0.00226035393324436,0.0117960235761557,0.34550238501105,550625,102625
"295",553875,102875,"295_318",0.00224310151666388,0.0117059890422999,0.35720837405335,550625,102625
"193",550875,103875,"193_241",0.00223971412036687,0.011688311365369,0.368896685418719,553875,103375
