"","xma","yma","label","powr","perc","cumsum_perc","xmb","ymb"
"347",553625,102375,"347_534",0.00395299868457539,0.0149612162592276,0.0149612162592276,552875,98875
"347.1",553625,102375,"347_546",0.003841986322426,0.0145410592872444,0.029502275546472,553125,98625
"347.2",553625,102375,"347_533",0.00384134351657199,0.0145386264107975,0.0440409019572695,552625,98875
"324",553625,102625,"324_534",0.00379196584482447,0.014351742962474,0.0583926449197434,552875,98875
"347.3",553625,102375,"347_545",0.00378649274104577,0.0143310284882795,0.0727236734080229,552875,98625
"318",550625,102625,"318_542",0.00378221640856164,0.0143148435258758,0.0870385169338988,552125,98625
"318.1",550625,102625,"318_532",0.00373112092931989,0.0141214585602325,0.101159975494131,552375,98875
"318.2",550625,102625,"318_531",0.00372133321131457,0.0140844142357977,0.115244389729929,552125,98875
"347.4",553625,102375,"347_547",0.00369825019337953,0.0139970501735253,0.129241439903454,553375,98625
"324.1",553625,102625,"324_533",0.00369186281284678,0.0139728753662194,0.143214315269674,552625,98875
"347.5",553625,102375,"347_544",0.00368930907356982,0.0139632100339891,0.157177525303663,552625,98625
"348",553875,102375,"348_534",0.00368784918980116,0.0139576847003072,0.17113521000397,552875,98875
"347.6",553625,102375,"347_532",0.00368684487838518,0.0139538836061291,0.185089093610099,552375,98875
"324.2",553625,102625,"324_546",0.00366230914810929,0.0138610213524258,0.198950114962525,553125,98625
"348.1",553875,102375,"348_546",0.00362788602333405,0.0137307375210422,0.212680852483567,553125,98625
"390",553625,101875,"390_534",0.00362631257061286,0.0137247823542654,0.226405634837833,552875,98875
"347.7",553625,102375,"347_535",0.00361432911876105,0.0136794276681162,0.240085062505949,553125,98875
"324.3",553625,102625,"324_545",0.00361306976798167,0.0136746613069661,0.253759723812915,552875,98625
"325",553875,102625,"325_534",0.00361073925103439,0.0136658408213484,0.267425564634263,552875,98875
"294",553625,102875,"294_534",0.00360352540736679,0.0136385380358473,0.281064102670111,552875,98875
"390.1",553625,101875,"390_546",0.00358205298438537,0.0135572697153978,0.294621372385508,553125,98625
"318.3",550625,102625,"318_543",0.00356888212645092,0.0135074209626912,0.3081287933482,552375,98625
"347.8",553625,102375,"347_543",0.00355530675272317,0.0134560412081435,0.321584834556343,552375,98625
"324.4",553625,102625,"324_532",0.00355240677116975,0.0134450654263053,0.335029899982648,552375,98875
"348.2",553875,102375,"348_533",0.0035505687339096,0.013438108866201,0.348468008848849,552625,98875
"348.3",553875,102375,"348_545",0.00354283552001781,0.0134088403805156,0.361876849229365,552875,98625
"325.1",553875,102625,"325_546",0.00352716310678742,0.0133495238002802,0.375226373029645,553125,98625
"324.5",553625,102625,"324_544",0.0035261011574826,0.0133455045595788,0.388571877589224,552625,98625
"348.4",553875,102375,"348_547",0.00352535517859404,0.0133426811962622,0.401914558785486,553375,98625
"324.6",553625,102625,"324_547",0.00352412141950081,0.0133380116939227,0.415252570479409,553375,98625
"390.2",553625,101875,"390_545",0.00352184324654473,0.0133293893186093,0.428581959798018,552875,98625
"294.1",553625,102875,"294_533",0.00351431226240847,0.0133008862273366,0.441882846025355,552625,98875
"390.3",553625,101875,"390_533",0.00350774849708612,0.0132760438430359,0.455158889868391,552625,98875
"347.9",553625,102375,"347_556",0.00349958565917751,0.0132451493264967,0.468404039194888,552625,98375
"325.2",553875,102625,"325_533",0.00348466918293207,0.0131886937987465,0.481592732993634,552625,98875
"437",551125,101375,"437_542",0.00348453911383394,0.0131882015162893,0.494780934509924,552125,98625
"318.4",550625,102625,"318_533",0.00348181079836857,0.0131778754522155,0.507958809962139,552625,98875
"289",550375,102875,"289_542",0.00347713233165176,0.0131601685016453,0.521118978463784,552125,98625
"324.7",553625,102625,"324_535",0.00346303881281231,0.0131068276836902,0.534225806147475,553125,98875
"294.2",553625,102875,"294_546",0.00346123571143297,0.0131000033480842,0.547325809495559,553125,98625
"367",553625,102125,"367_534",0.00345901833828896,0.0130916110864667,0.560417420582025,552875,98875
"390.4",553625,101875,"390_547",0.00345058577802792,0.0130596957311247,0.57347711631315,553375,98625
"325.3",553875,102625,"325_545",0.0034497646822842,0.013056588067305,0.586533704380455,552875,98625
"295",553875,102875,"295_534",0.00343092493775994,0.0129852838462346,0.59951898822669,552875,98875
"289.1",550375,102875,"289_531",0.00342866483396575,0.0129767298586593,0.612495718085349,552125,98875
"325.4",553875,102625,"325_547",0.00342437127278178,0.0129604796894785,0.625456197774828,553375,98625
"289.2",550375,102875,"289_532",0.0034242599606111,0.0129600583977983,0.638416256172626,552375,98875
"348.5",553875,102375,"348_544",0.00342169612320818,0.0129503548464188,0.651366611019045,552625,98625
"390.5",553625,101875,"390_544",0.00341810037038208,0.0129367457258654,0.66430335674491,552625,98625
"294.3",553625,102875,"294_545",0.0034177904388902,0.0129355727044593,0.677238929449369,552875,98625
"324.8",553625,102625,"324_543",0.00340547789511277,0.0128889724789458,0.690127901928315,552375,98625
"348.6",553875,102375,"348_535",0.00340490617063226,0.0128868086296061,0.703014710557921,553125,98875
"347.10",553625,102375,"347_560",0.00339144547622337,0.0128358629106418,0.715850573468563,553625,98375
"347.11",553625,102375,"347_542",0.00339042428453659,0.0128319979284126,0.728682571396976,552125,98625
"294.4",553625,102875,"294_532",0.00338924407767801,0.0128275311093087,0.741510102506284,552375,98875
"367.1",553625,102125,"367_546",0.00338678559254508,0.0128182262927178,0.754328328799002,553125,98625
"348.7",553875,102375,"348_532",0.00337810331474039,0.0127853658123019,0.767113694611304,552375,98875
"367.2",553625,102125,"367_533",0.0033541019124057,0.0126945258703978,0.779808220481702,552625,98875
"390.6",553625,101875,"390_532",0.00334614429088828,0.0126644080520196,0.792472628533721,552375,98875
"294.5",553625,102875,"294_544",0.00334040371833956,0.0126426812683279,0.805115309802049,552625,98625
"325.5",553875,102625,"325_544",0.00333878385569297,0.0126365504503591,0.817751860252408,552625,98625
"318.5",550625,102625,"318_544",0.00333766823197002,0.012632328063985,0.830384188316393,552625,98625
"367.3",553625,102125,"367_545",0.00333408403410738,0.0126187626763849,0.843002950992778,552875,98625
"295.1",553875,102875,"295_546",0.00333105511781969,0.0126072989054031,0.855610249898181,553125,98625
"294.6",553625,102875,"294_547",0.00332963165219876,0.0126019114062685,0.86821216130445,553375,98625
"324.9",553625,102625,"324_556",0.00332913832861668,0.0126000442868014,0.880812205591251,552625,98375
"325.6",553875,102625,"325_535",0.00332788006584738,0.0125952820435262,0.893407487634778,553125,98875
"325.7",553875,102625,"325_532",0.00332519989039617,0.0125851381786434,0.905992625813421,552375,98875
"390.7",553625,101875,"390_535",0.00332499764135034,0.0125843727112213,0.918576998524642,553125,98875
"295.2",553875,102875,"295_533",0.00331822664241638,0.0125587459940313,0.931135744518674,552625,98875
"437.1",551125,101375,"437_532",0.00330412172525111,0.0125053620359613,0.943641106554635,552375,98875
"437.2",551125,101375,"437_531",0.0033026694202591,0.0124998653862547,0.95614097194089,552125,98875
"266",553625,103125,"266_534",0.00329974214866933,0.0124887863177301,0.96862975825862,552875,98875
"347.12",553625,102375,"347_557",0.00329626324621375,0.0124756194497051,0.981105377708325,552875,98375
"294.7",553625,102875,"294_535",0.00328753878715232,0.0124425993226628,0.993547977030988,553125,98875
"347.13",553625,102375,"347_531",0.00328730892328916,0.0124417293393308,1.00598970637032,552125,98875
"437.3",551125,101375,"437_543",0.00328340357438044,0.0124269484668203,1.01841665483714,552375,98625
"347.14",553625,102375,"347_555",0.00328317463857105,0.0124260819959643,1.0308427368331,552375,98375
"390.8",553625,101875,"390_556",0.00328182346944472,0.0124209681228986,1.043263704956,552625,98375
"390.9",553625,101875,"390_543",0.00327687293862942,0.0124022314705403,1.05566593642654,552375,98625
"318.6",550625,102625,"318_555",0.00327420734911617,0.0123921428101717,1.06805807923671,552375,98375
"348.8",553875,102375,"348_543",0.00327005150289054,0.0123764138613197,1.08043449309803,552375,98625
"393",554375,101875,"393_546",0.00326910714586207,0.0123728396810945,1.09280733277913,553125,98625
"326",554125,102625,"326_534",0.00326859369984168,0.0123708964026971,1.10517822918183,552875,98875
"289.3",550375,102875,"289_543",0.00326824893331588,0.0123695915384756,1.1175478207203,552375,98625
"348.9",553875,102375,"348_560",0.00326710240405549,0.0123652521815516,1.12991307290185,553625,98375
"295.3",553875,102875,"295_545",0.00326244310986257,0.012347617794698,1.14226069069655,552875,98625
"367.4",553625,102125,"367_547",0.00326125247546195,0.0123431115096788,1.15460380220623,553375,98625
"418",554125,101625,"418_546",0.00326092314182381,0.0123418650554867,1.16694566726172,553125,98625
"324.10",553625,102625,"324_542",0.00325622428719139,0.012324080941214,1.17926974820293,552125,98625
"348.10",553875,102375,"348_556",0.00325549861427359,0.012321334431457,1.19159108263439,552625,98375
"393.1",554375,101875,"393_547",0.00324831072394956,0.012294129873559,1.20388521250795,553375,98625
"367.5",553625,102125,"367_544",0.0032425566187615,0.0122723518718529,1.2161575643798,552625,98625
"267",553875,103125,"267_534",0.00323776100658794,0.0122542015519188,1.22841176593172,552875,98875
"296",554125,102875,"296_534",0.00323717625180076,0.0122519883857814,1.2406637543175,552875,98875
"294.8",553625,102875,"294_543",0.00323247929321882,0.0122342114476359,1.25289796576513,552375,98625
"295.4",553875,102875,"295_547",0.00323134894363163,0.0122299333271578,1.26512789909229,553375,98625
"326.1",554125,102625,"326_546",0.00322997931657661,0.0122247495949586,1.27735264868725,553125,98625
"266.1",553625,103125,"266_533",0.00322287783207693,0.0121978720637882,1.28955052075104,552625,98875
"324.11",553625,102625,"324_560",0.00321911318595895,0.012183623719884,1.30173414447092,553625,98375
