"","xma","yma","label","powr","perc","cumsum_perc","xmb","ymb"
"157",550375,104375,"157_294",0.00195984526719221,0.0102987975794346,0.0102987975794346,553625,102875
"158",550625,104375,"158_294",0.00195739849709175,0.010285940038888,0.0205847376183227,553625,102875
"157.1",550375,104375,"157_324",0.00193473868756003,0.0101668649284891,0.0307516025468117,553625,102625
"158.1",550625,104375,"158_324",0.00192941556811245,0.0101388924499473,0.040890494996759,553625,102625
"157.2",550375,104375,"157_266",0.00190894581777953,0.0100313258891023,0.0509218208858613,553625,103125
"158.2",550625,104375,"158_266",0.00190867952142245,0.0100299265274671,0.0609517474133284,553625,103125
"157.3",550375,104375,"157_347",0.00189754393400884,0.00997141009118477,0.0709231575045132,553625,102375
"177",550625,104125,"177_294",0.00189750803610299,0.00997122145115689,0.0808943789556701,553625,102875
"158.3",550625,104375,"158_240",0.00189571712831533,0.00996181040371491,0.090856189359385,553625,103375
"157.4",550375,104375,"157_240",0.00189510617640651,0.00995859991044531,0.10081478926983,553625,103375
"177.1",550625,104125,"177_324",0.0018928586699054,0.00994678948086661,0.110761578750697,553625,102625
"158.4",550625,104375,"158_347",0.00188910973980539,0.00992708921529676,0.120688667965994,553625,102375
"177.2",550625,104125,"177_347",0.0018739106810407,0.00984721962955147,0.130535887595545,553625,102375
"158.5",550625,104375,"158_267",0.00183837524812921,0.00966048436193653,0.140196371957482,553875,103125
"158.6",550625,104375,"158_241",0.00183302575251676,0.00963237327919599,0.149828745236678,553875,103375
"157.5",550375,104375,"157_267",0.00182972821871802,0.00961504505758938,0.159443790294267,553875,103125
"177.3",550625,104125,"177_266",0.00182651071721614,0.00959813739797256,0.16904192769224,553625,103125
"158.7",550625,104375,"158_295",0.00182469590603914,0.00958860074052838,0.178630528432768,553875,102875
"157.6",550375,104375,"157_241",0.0018234655609872,0.0095821353961183,0.188212663828886,553875,103375
"157.7",550375,104375,"157_295",0.0018180373399535,0.00955361061889314,0.197766274447779,553875,102875
"193",550875,103875,"193_347",0.00180685348092017,0.00949484051991168,0.207261114967691,553625,102375
"193.1",550875,103875,"193_324",0.00180407880002676,0.00948025983982072,0.216741374807512,553625,102625
"158.8",550625,104375,"158_325",0.00179705808865224,0.00944336667967167,0.226184741487183,553875,102625
"157.8",550375,104375,"157_325",0.0017930013110199,0.00942204870505415,0.235606790192238,553875,102625
"177.4",550625,104125,"177_240",0.00178888838271149,0.00940043566405746,0.245007225856295,553625,103375
"193.2",550875,103875,"193_294",0.00178512588984272,0.0093806641274478,0.254387889983743,553625,102875
"318",550625,102625,"318_532",0.00178161033185422,0.0093621902097828,0.263750080193526,552375,98875
"289",550375,102875,"289_532",0.00176815226477406,0.00929146936717889,0.273041549560705,552375,98875
"177.5",550625,104125,"177_295",0.00176813985611135,0.00929140416085492,0.282332953721559,553875,102875
"177.6",550625,104125,"177_325",0.00176107746650215,0.00925429198560833,0.291587245707168,553875,102625
"177.7",550625,104125,"177_267",0.0017601035765262,0.00924917428785182,0.30083641999502,553875,103125
"318.1",550625,102625,"318_533",0.0017341637934975,0.00911286323353594,0.309949283228556,552625,98875
"177.8",550625,104125,"177_241",0.00173258143256549,0.009104548079677,0.319053831308233,553875,103375
"158.9",550625,104375,"158_348",0.00172473014403112,0.00906329031677764,0.32811712162501,553875,102375
"157.9",550375,104375,"157_348",0.00172352635393209,0.00905696451608024,0.33717408614109,553875,102375
"289.1",550375,102875,"289_533",0.00171019543268863,0.00898691181256734,0.346160997953658,552625,98875
"177.9",550625,104125,"177_348",0.00170813246836275,0.00897607113429469,0.355137069087953,553875,102375
"318.2",550625,102625,"318_531",0.0017025522027458,0.00894674737747038,0.364083816465423,552125,98875
"289.2",550375,102875,"289_531",0.00170219623714838,0.00894487681263828,0.373028693278061,552125,98875
"193.3",550875,103875,"193_266",0.0016931179765584,0.00889717143009885,0.38192586470816,553625,103125
"69",548875,105875,"69_193",0.0016891098574982,0.00887610915157802,0.390801973859738,550875,103875
"81",549125,105625,"81_193",0.00168748065435806,0.00886754784643986,0.399669521706178,550875,103875
"193.4",550875,103875,"193_325",0.0016870343885347,0.0088652027626425,0.40853472446882,553875,102625
"158.10",550625,104375,"158_296",0.0016843049498432,0.00885085982595262,0.417385584294773,554125,102875
"158.11",550625,104375,"158_268",0.00168193310685182,0.00883839602012707,0.4262239803149,554125,103125
"158.12",550625,104375,"158_242",0.00168153828436632,0.00883632126610132,0.435060301581001,554125,103375
"318.3",550625,102625,"318_542",0.00168032874402709,0.00882996524844709,0.443890266829448,552125,98625
"289.3",550375,102875,"289_542",0.00167446684064288,0.00879916151235894,0.452689428341807,552125,98625
"193.5",550875,103875,"193_295",0.00167333660310753,0.00879322222327926,0.461482650565087,553875,102875
"318.4",550625,102625,"318_534",0.00167298452788113,0.00879137210197114,0.470274022667058,552875,98875
"81.1",549125,105625,"81_211",0.00167133111718782,0.00878268358847922,0.479056706255537,551125,103625
"157.10",550375,104375,"157_296",0.0016712509141554,0.00878226212929061,0.487838968384828,554125,102875
"81.2",549125,105625,"81_318",0.00167052521771187,0.0087784486645742,0.496617417049402,550625,102625
"157.11",550375,104375,"157_268",0.00166727848984565,0.0087613874232357,0.505378804472637,554125,103125
"157.12",550375,104375,"157_242",0.00166602760016929,0.00875481411880872,0.514133618591446,554125,103375
"193.6",550875,103875,"193_348",0.0016544885533308,0.00869417754221842,0.522827796133665,553875,102375
"318.5",550625,102625,"318_543",0.001653961767708,0.00869140933465236,0.531519205468317,552375,98625
"193.7",550875,103875,"193_267",0.00164334106956073,0.00863559859173194,0.540154804060049,553875,103125
"289.4",550375,102875,"289_534",0.00164087770034223,0.00862265382442333,0.548777457884472,552875,98875
"289.5",550375,102875,"289_543",0.00163645245969433,0.00859939961224856,0.557376857496721,552375,98625
"69.1",548875,105875,"69_234",0.00163351626197097,0.00858397017681693,0.565960827673538,550375,103375
"69.2",548875,105875,"69_211",0.0016313465340771,0.00857256846630672,0.574533396139845,551125,103625
"177.10",550625,104125,"177_296",0.00163125294375547,0.00857207665820632,0.583105472798051,554125,102875
"193.8",550875,103875,"193_240",0.00163037270479808,0.00856745108750674,0.591672923885557,553625,103375
"81.3",549125,105625,"81_289",0.00162858364520039,0.0085580497521245,0.600230973637682,550375,102875
"81.4",549125,105625,"81_240",0.00162360686864691,0.00853189727203826,0.60876287090972,553625,103375
"81.5",549125,105625,"81_234",0.00162005822655117,0.00851324950058525,0.617276120410306,550375,103375
"69.3",548875,105875,"69_318",0.00161756891279196,0.00850016839722113,0.625776288807527,550625,102625
"318.6",550625,102625,"318_544",0.00161265938947908,0.00847436932641831,0.634250658133945,552625,98625
"69.4",548875,105875,"69_289",0.00161107351767132,0.0084660357232464,0.642716693857191,550375,102875
"177.11",550625,104125,"177_268",0.00161072104578852,0.00846418351754725,0.651180877374739,554125,103125
"47",548625,106125,"47_193",0.00160376129794198,0.00842761071484937,0.659608488089588,550875,103875
"193.9",550875,103875,"193_241",0.00159321968188516,0.00837221554067581,0.667980703630264,553875,103375
"177.12",550625,104125,"177_390",0.00159260421930016,0.00836898134423859,0.676349684974502,553625,101875
"158.13",550625,104375,"158_326",0.00159252048223695,0.00836854131405949,0.684718226288562,554125,102625
"177.13",550625,104125,"177_242",0.00159131670359217,0.00836221557355307,0.693080441862115,554125,103375
"139",549875,104625,"139_294",0.00158689377065624,0.00833897348818178,0.701419415350297,553625,102875
"157.13",550375,104375,"157_390",0.00158647296517645,0.00833676219603074,0.709756177546327,553625,101875
"289.6",550375,102875,"289_544",0.00158565148869183,0.00833244541644968,0.718088622962777,552625,98625
"157.14",550375,104375,"157_326",0.00158215874831883,0.00831409140315018,0.726402714365927,554125,102625
"234",550375,103375,"234_347",0.00157836800874704,0.00829417143284452,0.734696885798772,553625,102375
"234.1",550375,103375,"234_532",0.00157756494148432,0.00828995139194643,0.742986837190718,552375,98875
"157.15",550375,104375,"157_367",0.00157456623213307,0.00827419346394823,0.751261030654667,553625,102125
"158.14",550625,104375,"158_390",0.00157407609767111,0.00827161785469225,0.759532648509359,553625,101875
"81.6",549125,105625,"81_266",0.00157306713486927,0.00826631585262334,0.767798964361982,553625,103125
"69.5",548875,105875,"69_177",0.00156926847190268,0.00824635424564333,0.776045318607625,550625,104125
"177.14",550625,104125,"177_367",0.00156824670416002,0.00824098495484727,0.784286303562473,553625,102125
"193.10",550875,103875,"193_390",0.0015668396488401,0.00823359101504727,0.79251989457752,553625,101875
"81.7",549125,105625,"81_235",0.00156574518134962,0.00822783969409837,0.800747734271618,550625,103375
"158.15",550625,104375,"158_367",0.00156484926417937,0.00822313173590456,0.808970866007523,553625,102125
