"","xma","yma","label","powr","perc","cumsum_perc","xmb","ymb"
"228",547625,103375,"228_318",0.00171092627885717,0.0118023739912319,0.0118023739912319,550625,102625
"228.1",547625,103375,"228_289",0.00169402155396705,0.0116857612021026,0.0234881351933346,550375,102875
"188",546875,103875,"188_289",0.00167434549146028,0.0115500310708577,0.0350381662641922,550375,102875
"188.1",546875,103875,"188_318",0.00161002344131884,0.0111063223611176,0.0461444886253099,550625,102625
"188.2",546875,103875,"188_234",0.00159310530215192,0.0109896170371354,0.0571341056624453,550375,103375
"188.3",546875,103875,"188_233",0.00158174099911871,0.0109112233879145,0.0680453290503598,550125,103375
"228.2",547625,103375,"228_234",0.00151142121900893,0.0104261409187907,0.0784714699691504,550375,103375
"170",547625,104125,"170_289",0.0015106731143374,0.0104209803158897,0.0888924502850402,550375,102875
"170.1",547625,104125,"170_318",0.00148172589225903,0.0102212955339105,0.0991137458189506,550625,102625
"228.3",547625,103375,"228_290",0.00147733458310751,0.0101910032451323,0.109304749064083,550625,102875
"157",550375,104375,"157_240",0.00146627307504106,0.0101146983471828,0.119419447411266,553625,103375
"170.2",547625,104125,"170_234",0.00145959916605284,0.0100686601450488,0.129488107556314,550375,103375
"228.4",547625,103375,"228_233",0.00145171537938009,0.0100142759205917,0.139502383476906,550125,103375
"157.1",550375,104375,"157_294",0.00144229237770285,0.0099492738271122,0.149451657304018,553625,102875
"157.2",550375,104375,"157_266",0.00143986281308207,0.00993251411592846,0.159384171419947,553625,103125
"228.5",547625,103375,"228_437",0.00143428612660737,0.0098940448141125,0.169278216234059,551125,101375
"158",550625,104375,"158_240",0.00143061812190949,0.00986874205046862,0.179146958284528,553625,103375
"177",550625,104125,"177_294",0.00142948577501825,0.00986093085388851,0.189007889138416,553625,102875
"177.1",550625,104125,"177_240",0.00142647345792235,0.0098401511783494,0.198848040316766,553625,103375
"188.4",546875,103875,"188_290",0.00142593891366271,0.00983646376566242,0.208684504082428,550625,102875
"157.3",550375,104375,"157_241",0.00142333754952978,0.00981851894082477,0.218503023023253,553875,103375
"177.2",550625,104125,"177_266",0.0014148963176489,0.00976028932752354,0.228263312350777,553625,103125
"170.3",547625,104125,"170_233",0.00140406129512048,0.00968554678036403,0.237948859131141,550125,103375
"188.5",546875,103875,"188_235",0.00140345905915869,0.00968139241431112,0.247630251545452,550625,103375
"158.1",550625,104375,"158_266",0.00140279148966266,0.00967678736209194,0.257307038907544,553625,103125
"158.2",550625,104375,"158_294",0.00140230172395848,0.00967340884246761,0.266980447750011,553625,102875
"158.3",550625,104375,"158_241",0.00139768412630154,0.00964155556207693,0.276622003312088,553875,103375
"157.4",550375,104375,"157_267",0.00139574920242367,0.00962820799968729,0.286250211311776,553875,103125
"188.6",546875,103875,"188_260",0.00139537660407318,0.00962563772817098,0.295875849039947,550125,103125
"177.3",550625,104125,"177_241",0.00139339153131964,0.00961194422698008,0.305487793266927,553875,103375
"157.5",550375,104375,"157_324",0.00138907906989194,0.00958219584844303,0.31506998911537,553625,102625
"228.6",547625,103375,"228_436",0.00138689403499359,0.00956712296109953,0.324637112076469,550875,101375
"177.4",550625,104125,"177_324",0.00138686411110812,0.00956691653906257,0.334204028615532,553625,102625
"228.7",547625,103375,"228_316",0.00138660463670284,0.00956512662326657,0.343769155238798,550125,102625
"193",550875,103875,"193_294",0.0013846199233628,0.009551435601395,0.353320590840193,553625,102875
"177.5",550625,104125,"177_267",0.00137913769373259,0.00951361788522499,0.362834208725418,553875,103125
"228.8",547625,103375,"228_235",0.00136997829156686,0.00945043416349957,0.372284642888918,550625,103375
"188.7",546875,103875,"188_316",0.00136940610622037,0.00944648709369591,0.381731129982614,550125,102625
"158.4",550625,104375,"158_267",0.00136864690016305,0.00944124991081104,0.391172379893425,553875,103125
"283",547625,102875,"283_318",0.00136252253359207,0.00939900258220118,0.400571382475626,550625,102625
"228.9",547625,103375,"228_457",0.00135745005635582,0.00936401143492382,0.40993539391055,551125,100875
"193.1",550875,103875,"193_266",0.00135604254114115,0.00935430206218978,0.41928969597274,553625,103125
"157.6",550375,104375,"157_295",0.00135589062819718,0.00935325413078505,0.428642950103525,553875,102875
"193.2",550875,103875,"193_324",0.00135552701771305,0.00935074585969593,0.437993695963221,553625,102625
"177.6",550625,104125,"177_295",0.00135064183379897,0.00931704670603721,0.447310742669258,553875,102875
"193.3",550875,103875,"193_240",0.0013503186829796,0.00931481753528165,0.456625560204539,553625,103375
"158.5",550625,104375,"158_324",0.00134733918339025,0.00929426424266185,0.465919824447201,553625,102625
"188.8",546875,103875,"188_193",0.00134210800940705,0.00925817836770287,0.475178002814904,550875,103875
"234",550375,103375,"234_324",0.00134006240349644,0.00924406729448246,0.484422070109387,553625,102625
"234.1",550375,103375,"234_294",0.0013345920633608,0.00920633159485709,0.493628401704244,553625,102875
"177.7",550625,104125,"177_347",0.0013344612246839,0.00920542903872924,0.502833830742973,553625,102375
"234.2",550375,103375,"234_347",0.00133225628029631,0.00919021881102168,0.512024049553995,553625,102375
"193.4",550875,103875,"193_267",0.0013312065558536,0.00918297756362623,0.521207027117621,553875,103125
"193.5",550875,103875,"193_241",0.00132985624891135,0.00917366282708127,0.530380689944702,553875,103375
"228.10",547625,103375,"228_260",0.00132937263100243,0.00917032671640227,0.539551016661104,550125,103125
"157.7",550375,104375,"157_347",0.00132822000809896,0.00916237565109584,0.5487133923122,553625,102375
"158.6",550625,104375,"158_295",0.00132702687637483,0.00915414514636696,0.557867537458567,553875,102875
"170.4",547625,104125,"170_290",0.00132353243835991,0.00913003968673907,0.566997577145306,550625,102875
"170.5",547625,104125,"170_235",0.00132125223348818,0.0091143102944179,0.576111887439724,550625,103375
"177.8",550625,104125,"177_188",0.00131809160822493,0.00909250755407537,0.5852043949938,546875,103875
"193.6",550875,103875,"193_295",0.00131662552751942,0.00908239418273874,0.594286789176538,553875,102875
"193.7",550875,103875,"193_347",0.00131441219102598,0.00906712606430091,0.603353915240839,553625,102375
"157.8",550375,104375,"157_242",0.00131301023889532,0.00905745506703561,0.612411370307875,554125,103375
"177.9",550625,104125,"177_325",0.00131109325867876,0.00904423128426417,0.621455601592139,553875,102625
"283.1",547625,102875,"283_289",0.00131098376013561,0.00904347593742445,0.630499077529563,550375,102875
"157.9",550375,104375,"157_325",0.00130693315041617,0.00901553387388134,0.639514611403445,553875,102625
"170.6",547625,104125,"170_193",0.001303157226676,0.00898948665916813,0.648504098062613,550875,103875
"158.7",550625,104375,"158_242",0.00129633348281627,0.00894241486066451,0.657446512923277,554125,103375
"255",547625,103125,"255_318",0.00129205440880787,0.00891289679643965,0.666359409719717,550625,102625
"177.10",550625,104125,"177_242",0.00129205207471401,0.00891288069530837,0.675272290415025,554125,103375
"193.8",550875,103875,"193_325",0.00128910722079222,0.00889256639669479,0.68416485681172,553875,102625
"233",550125,103375,"233_324",0.00128818215815671,0.00888618509591957,0.69305104190764,553625,102625
"157.10",550375,104375,"157_268",0.00128678855816408,0.0088765717136772,0.701927613621317,554125,103125
"158.8",550625,104375,"158_347",0.0012850108060248,0.00886430835910089,0.710791921980418,553625,102375
"233.1",550125,103375,"233_294",0.00128314226907943,0.0088514187494677,0.719643340729886,553625,102875
"233.2",550125,103375,"233_347",0.00128128088196448,0.00883857846105516,0.728481919190941,553625,102375
"177.11",550625,104125,"177_268",0.00127730979457199,0.00881118496132509,0.737293104152266,554125,103125
"158.9",550625,104375,"158_325",0.00127627670544475,0.00880405846826889,0.746097162620535,553875,102625
"234.3",550375,103375,"234_266",0.00127469536177183,0.00879314998573106,0.754890312606266,553625,103125
"149",547375,104375,"149_289",0.00127049726030463,0.00876419048923997,0.763654503095506,550375,102875
"158.10",550625,104375,"158_268",0.00126874803906101,0.00875212394752763,0.772406627043033,554125,103125
"177.12",550625,104125,"177_296",0.0012637220750527,0.00871745365949383,0.781124080702527,554125,102875
"157.11",550375,104375,"157_296",0.00126331587253451,0.00871465157848363,0.789838732281011,554125,102875
"255.1",547625,103125,"255_289",0.00126225826375705,0.00870735594308293,0.798546088224094,550375,102875
"283.2",547625,102875,"283_437",0.00126137018496813,0.00870122976562571,0.807247317989719,551125,101375
"193.9",550875,103875,"193_228",0.00125897586269621,0.00868471316449685,0.815932031154216,547625,103375
"157.12",550375,104375,"157_188",0.00125881087240629,0.00868357502246782,0.824615606176684,546875,103875
"149.1",547375,104375,"149_234",0.00125622546815442,0.00866574029266319,0.833281346469347,550375,103375
"234.4",550375,103375,"234_325",0.0012556371979642,0.00866168226580446,0.841943028735152,553875,102625
"234.5",550375,103375,"234_295",0.00125254736266951,0.0086403678514022,0.850583396586554,553875,102875
"188.9",546875,103875,"188_288",0.00125173019407433,0.00863473082922694,0.859218127415781,550125,102875
"170.7",547625,104125,"170_177",0.00124740798859781,0.0086049152339373,0.867823042649718,550625,104125
"188.10",546875,103875,"188_211",0.00124431152902508,0.00858355512369896,0.876406597773417,551125,103625
"158.11",550625,104375,"158_296",0.00124342620905704,0.00857744797724042,0.884984045750658,554125,102875
"193.10",550875,103875,"193_242",0.0012415300395517,0.00856436775167528,0.893548413502333,554125,103375
"289",550375,102875,"289_347",0.00124126314715578,0.00856252666482602,0.902110940167159,553625,102375
"193.11",550875,103875,"193_268",0.00124023670017116,0.00855544599083999,0.910666386157999,554125,103125
"211",551125,103625,"211_228",0.00123980106677793,0.0085524408886953,0.919218827046694,547625,103375
"234.6",550375,103375,"234_240",0.0012391097886535,0.00854767228875192,0.927766499335446,553625,103375
"193.12",550875,103875,"193_296",0.00123848658128383,0.00854337325696906,0.936309872592415,554125,102875
